[10/7/25 12:34AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 12:34AM] Afk Gh used command ::shops | Player rights = PLAYER	
[10/7/25 12:35AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 01:03AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 01:05AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 01:13AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 01:27PM] Afk Gh used command ::dk | Player rights = PLAYER	
[10/7/25 01:29PM] Afk Gh used command ::dissolveall | Player rights = PLAYER	
[10/7/25 01:31PM] Afk Gh used command ::dk | Player rights = PLAYER	
[10/7/25 01:33PM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 01:35PM] Afk Gh used command ::emerald | Player rights = PLAYER	
[10/7/25 02:05PM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 02:40PM] Afk Gh used command ::collectionlog | Player rights = PLAYER	
[10/7/25 02:42PM] Afk Gh used command ::collectionlog | Player rights = PLAYER	
[10/7/25 04:47PM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 04:47PM] Afk Gh used command ::shops | Player rights = PLAYER	
[10/7/25 04:58PM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/7/25 05:02PM] Afk Gh used command ::prestige | Player rights = PLAYER	
[10/7/25 05:02PM] Afk Gh used command ::prestige | Player rights = PLAYER	
[10/7/25 06:05PM] Afk Gh used command ::home | Player rights = PLAYER	
[10/7/25 06:12PM] Afk Gh used command ::bank | Player rights = PLAYER	
[10/8/25 01:08AM] Afk Gh used command ::bank | Player rights = PLAYER	
[10/8/25 01:11AM] Afk Gh used command ::help | Player rights = PLAYER	
[10/8/25 01:21AM] Afk Gh used command ::train | Player rights = PLAYER	
[10/8/25 01:28AM] Afk Gh used command ::afk | Player rights = PLAYER	
[10/9/25 12:45AM] Afk Gh used command ::daily | Player rights = PLAYER	
[10/9/25 12:47AM] Afk Gh used command ::skull | Player rights = PLAYER	
[10/9/25 12:47AM] Afk Gh used command ::redskull | Player rights = PLAYER	
[10/9/25 12:47AM] Afk Gh used command ::commands | Player rights = PLAYER	
[10/9/25 12:47AM] Afk Gh used command ::mage | Player rights = PLAYER	
[10/9/25 02:01AM] Afk Gh used command ::seasonpass | Player rights = PLAYER	
[10/12/25 01:27AM] Afk Gh used command ::daily | Player rights = PLAYER	
[10/12/25 01:29AM] Afk Gh used command ::daily | Player rights = PLAYER	
[10/12/25 01:30AM] Afk Gh used command ::daily | Player rights = PLAYER	
[10/12/25 01:30AM] Afk Gh used command ::daily | Player rights = PLAYER	
