[10/12/25 12:09PM] Arthur used command ::ref | Player rights = PLAYER	
[10/12/25 12:11PM] Arthur used command ::ref | Player rights = PLAYER	
[10/12/25 12:12PM] Arthur used command ::vote | Player rights = PLAYER	
[10/12/25 12:12PM] Arthur used command ::voted | Player rights = PLAYER	
[10/12/25 12:16PM] Arthur used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:18PM] Arthur used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:18PM] Arthur used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:20PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:20PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:23PM] Arthur used command ::reward 1 all | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:24PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:26PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:27PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:29PM] Arthur used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:30PM] Arthur used command ::starter | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:32PM] Arthur used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:52PM] Arthur used command ::dk | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:53PM] Arthur used command ::startertasks | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:54PM] Arthur used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:55PM] Arthur used command ::startertasks | Player rights = SAPPHIRE_DONATOR	
