[10/7/25 07:01PM] Big Daddy D used command ::bank | Player rights = PLAYER	
[10/7/25 07:03PM] Big Daddy D used command ::train | Player rights = PLAYER	
[10/7/25 07:05PM] Big Daddy D used command ::vote | Player rights = PLAYER	
[10/7/25 07:06PM] Big Daddy D used command ::voted | Player rights = PLAYER	
[10/7/25 07:06PM] Big Daddy D used command ::vote | Player rights = PLAYER	
[10/7/25 07:07PM] Big Daddy D used command ::nephilim | Player rights = PLAYER	
[10/7/25 07:08PM] Big Daddy D used command ::daily | Player rights = PLAYER	
[10/7/25 07:13PM] Big Daddy D used command ::dropparty | Player rights = PLAYER	
[10/7/25 07:25PM] Big Daddy D used command ::bank | Player rights = PLAYER	
[10/7/25 07:26PM] Big Daddy D used command ::onyx | Player rights = PLAYER	
[10/7/25 07:27PM] Big Daddy D used command ::TRAIN | Player rights = PLAYER	
[10/7/25 07:28PM] Big Daddy D used command ::bank | Player rights = PLAYER	
[10/7/25 07:31PM] Big Daddy D used command ::train | Player rights = PLAYER	
[10/7/25 07:32PM] Big Daddy D used command ::ref | Player rights = PLAYER	
[10/7/25 07:32PM] Big Daddy D used command ::ref | Player rights = PLAYER	
[10/7/25 07:32PM] Big Daddy D used command ::pos | Player rights = PLAYER	
[10/7/25 07:32PM] Big Daddy D used command ::pos | Player rights = PLAYER	
[10/7/25 07:34PM] Big Daddy D used command ::startertasks | Player rights = PLAYER	
[10/7/25 07:35PM] Big Daddy D used command ::afk | Player rights = PLAYER	
[10/7/25 07:35PM] Big Daddy D used command ::daily | Player rights = PLAYER	
[10/7/25 07:37PM] Big Daddy D used command ::afk | Player rights = PLAYER	
[10/9/25 08:02PM] Big Daddy D used command ::vote | Player rights = PLAYER	
[10/9/25 08:02PM] Big Daddy D used command ::daily | Player rights = PLAYER	
[10/9/25 08:03PM] Big Daddy D used command ::voted | Player rights = PLAYER	
[10/9/25 08:03PM] Big Daddy D used command ::claim | Player rights = PLAYER	
[10/9/25 08:04PM] Big Daddy D used command ::train | Player rights = PLAYER	
[10/9/25 08:04PM] Big Daddy D used command ::claim | Player rights = PLAYER	
[10/9/25 08:04PM] Big Daddy D used command ::voted | Player rights = PLAYER	
[10/9/25 08:05PM] Big Daddy D used command ::vote | Player rights = PLAYER	
[10/9/25 08:10PM] Big Daddy D used command ::startertasks | Player rights = PLAYER	
[10/9/25 08:10PM] Big Daddy D used command ::pos | Player rights = PLAYER	
[10/9/25 08:12PM] Big Daddy D used command ::bank | Player rights = PLAYER	
[10/9/25 08:15PM] Big Daddy D used command ::startertasks | Player rights = PLAYER	
[10/9/25 08:18PM] Big Daddy D used command ::shops | Player rights = PLAYER	
[10/9/25 08:18PM] Big Daddy D used command ::voted | Player rights = PLAYER	
[10/15/25 08:39PM] Big Daddy D used command ::vote | Player rights = PLAYER	
[10/15/25 08:39PM] Big Daddy D used command ::voted | Player rights = PLAYER	
[10/15/25 08:45PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:45PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 08:46PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:47PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 08:47PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:47PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 08:47PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:49PM] Big Daddy D used command ::vboss | Player rights = EMERALD_DONATOR	
[10/15/25 08:51PM] Big Daddy D used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/15/25 08:54PM] Big Daddy D used command ::shops | Player rights = EMERALD_DONATOR	
[10/15/25 08:56PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 08:57PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:00PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:02PM] Big Daddy D used command ::daily | Player rights = EMERALD_DONATOR	
[10/15/25 09:03PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:06PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:09PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:16PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 09:16PM] Big Daddy D used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/16/25 01:41PM] Big Daddy D used command ::daily | Player rights = EMERALD_DONATOR	
[10/16/25 01:41PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:42PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:42PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:42PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:42PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:43PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:43PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:43PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:43PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:44PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:44PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:44PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:46PM] Big Daddy D used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/16/25 01:46PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:46PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:47PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:47PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:47PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:47PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:48PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:48PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:49PM] Big Daddy D used command ::startertask | Player rights = EMERALD_DONATOR	
[10/16/25 01:49PM] Big Daddy D used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/16/25 01:51PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:52PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:52PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:52PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:53PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:53PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:53PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:54PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 01:54PM] Big Daddy D used command ::shops | Player rights = EMERALD_DONATOR	
[10/16/25 01:54PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 01:59PM] Big Daddy D used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/16/25 02:05PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:06PM] Big Daddy D used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/16/25 02:06PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:08PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:09PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:09PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:10PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:10PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 02:10PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 02:10PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 03:00PM] Big Daddy D used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/16/25 03:03PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 03:05PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 03:05PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 03:06PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 03:07PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 05:00PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 05:00PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 05:09PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 05:10PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 07:26PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 07:27PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:09PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:12PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:12PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:14PM] Big Daddy D used command ::platinum | Player rights = EMERALD_DONATOR	
[10/16/25 08:15PM] Big Daddy D used command ::ezone | Player rights = EMERALD_DONATOR	
[10/16/25 08:15PM] Big Daddy D used command ::dzone | Player rights = EMERALD_DONATOR	
[10/16/25 08:15PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:16PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:17PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:17PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:17PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:17PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:17PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:18PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:18PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:19PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:20PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:21PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:21PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:21PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:22PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:22PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:23PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:24PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:24PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:24PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:26PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:28PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:29PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:37PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:37PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:37PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:38PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:38PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:39PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:40PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:40PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:41PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
[10/16/25 08:41PM] Big Daddy D used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/16/25 08:41PM] Big Daddy D used command ::bank | Player rights = EMERALD_DONATOR	
