[10/10/25 11:11PM] Blayko used command ::home | Player rights = PLAYER	
[10/10/25 11:12PM] Blayko used command ::starttasks | Player rights = PLAYER	
[10/10/25 11:12PM] Blayko used command ::startertasks | Player rights = PLAYER	
[10/10/25 11:13PM] Blayko used command ::vote | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::voted | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::voted | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::vlaimvotes | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::claim | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::claimvotes | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::votes | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::voted | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::commands | Player rights = PLAYER	
[10/10/25 11:18PM] Blayko used command ::vote | Player rights = PLAYER	
[10/10/25 11:19PM] Blayko used command ::voted | Player rights = PLAYER	
[10/10/25 11:24PM] Blayko used command ::train | Player rights = PLAYER	
[10/11/25 06:41AM] Blayko used command ::vote | Player rights = PLAYER	
[10/11/25 07:21AM] Blayko used command ::shops | Player rights = PLAYER	
[10/11/25 07:23AM] Blayko used command ::shops | Player rights = PLAYER	
[10/11/25 08:00AM] Blayko used command ::bank | Player rights = PLAYER	
[10/11/25 08:04AM] Blayko used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:04AM] Blayko used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:04AM] Blayko used command ::home | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:04AM] Blayko used command ::dzone | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:04AM] Blayko used command ::dzone | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:04AM] Blayko used command ::commands | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::range | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::range | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::mage | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::melee | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:05AM] Blayko used command ::train | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:06AM] Blayko used command ::saphite | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:06AM] Blayko used command ::saphiire | Player rights = SAPPHIRE_DONATOR	
[10/11/25 08:06AM] Blayko used command ::saphire | Player rights = SAPPHIRE_DONATOR	
