[10/11/25 09:10AM] Blazed used command ::NEPHILIM | Player rights = PLAYER	
[10/11/25 09:11AM] Blazed used command ::home | Player rights = PLAYER	
[10/11/25 09:11AM] Blazed used command ::nephlim | Player rights = PLAYER	
[10/11/25 09:11AM] Blazed used command ::nephilim | Player rights = PLAYER	
[10/11/25 09:13AM] Blazed used command ::vote | Player rights = PLAYER	
[10/11/25 09:15AM] Blazed used command ::bank | Player rights = PLAYER	
[10/11/25 09:15AM] Blazed used command ::home | Player rights = PLAYER	
[10/11/25 09:18AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:19AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:19AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:19AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:20AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:21AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:21AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:21AM] Blazed used command ::home | Player rights = EMERALD_DONATOR	
[10/11/25 09:22AM] Blazed used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/11/25 09:24AM] Blazed used command ::voted | Player rights = EMERALD_DONATOR	
[10/11/25 09:28AM] Blazed used command ::vote | Player rights = EMERALD_DONATOR	
[10/11/25 09:29AM] Blazed used command ::shops | Player rights = EMERALD_DONATOR	
[10/11/25 09:31AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:31AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:32AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:33AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:33AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:33AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:35AM] Blazed used command ::bp | Player rights = EMERALD_DONATOR	
[10/11/25 09:35AM] Blazed used command ::sp | Player rights = EMERALD_DONATOR	
[10/11/25 09:36AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:37AM] Blazed used command ::donate | Player rights = EMERALD_DONATOR	
[10/11/25 09:43AM] Blazed used command ::zones | Player rights = EMERALD_DONATOR	
[10/11/25 09:45AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:49AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 09:56AM] Blazed used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/14/25 06:27AM] Blazed used command ::vote | Player rights = EMERALD_DONATOR	
[10/14/25 06:27AM] Blazed used command ::naraku | Player rights = EMERALD_DONATOR	
[10/14/25 06:28AM] Blazed used command ::home | Player rights = EMERALD_DONATOR	
[10/14/25 06:28AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:30AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:30AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:35AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:37AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:50AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:52AM] Blazed used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/14/25 06:53AM] Blazed used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 06:59AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:02AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:04AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:04AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:09AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:12AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:15AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:17AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:20AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:24AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:27AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:29AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:30AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:30AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:31AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:31AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:34AM] Blazed used command ::bank | Player rights = RUBY_DONATOR	
[10/14/25 07:44AM] Blazed used command ::7ho | Player rights = RUBY_DONATOR	
[10/14/25 07:44AM] Blazed used command ::home | Player rights = RUBY_DONATOR	
[10/14/25 07:47AM] Blazed used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/14/25 07:55AM] Blazed used command ::afk | Player rights = RUBY_DONATOR	
[10/14/25 07:56AM] Blazed used command ::shops | Player rights = RUBY_DONATOR	
