[10/7/25 10:49AM] Crotone used command ::Shops | Player rights = EMERALD_DONATOR	
[10/7/25 10:51AM] Crotone used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 10:54AM] Crotone used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Crotone used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Crotone used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Crotone used command ::answer 2 | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Crotone used command ::answer 4 | Player rights = EMERALD_DONATOR	
[10/7/25 11:03AM] Crotone used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:06AM] Crotone used command ::Train | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] Crotone used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] Crotone used command ::voted | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] Crotone used command ::Reward 1 all | Player rights = EMERALD_DONATOR	
[10/7/25 11:08AM] Crotone used command ::claimvote | Player rights = EMERALD_DONATOR	
[10/7/25 11:08AM] Crotone used command ::claim | Player rights = EMERALD_DONATOR	
[10/7/25 11:16AM] Crotone used command ::answer bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:16AM] Crotone used command ::Startertasks | Player rights = EMERALD_DONATOR	
[10/8/25 12:15PM] Crotone used command ::vote | Player rights = EMERALD_DONATOR	
[10/8/25 12:16PM] Crotone used command ::Voted | Player rights = EMERALD_DONATOR	
[10/8/25 12:21PM] Crotone used command ::voted | Player rights = EMERALD_DONATOR	
[10/10/25 12:57PM] Crotone used command ::home | Player rights = EMERALD_DONATOR	
[10/10/25 12:59PM] Crotone used command ::dropparty | Player rights = EMERALD_DONATOR	
[10/10/25 01:11PM] Crotone used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 01:18PM] Crotone used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 01:18PM] Crotone used command ::Yell Selling Gold Season Pass | Player rights = RUBY_DONATOR	
[10/10/25 01:19PM] Crotone used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/10/25 01:20PM] Crotone used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 01:20PM] Crotone used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/10/25 01:20PM] Crotone used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 01:21PM] Crotone used command ::home | Player rights = RUBY_DONATOR	
[10/10/25 01:22PM] Crotone used command ::bank | Player rights = DIAMOND_DONATOR	
[10/10/25 01:22PM] Crotone used command ::Shops | Player rights = DIAMOND_DONATOR	
[10/10/25 01:27PM] Crotone used command ::bank | Player rights = DIAMOND_DONATOR	
[10/10/25 01:27PM] Crotone used command ::bank | Player rights = DIAMOND_DONATOR	
[10/10/25 01:28PM] Crotone used command ::Vote | Player rights = DIAMOND_DONATOR	
[10/10/25 01:28PM] Crotone used command ::reward 1 all | Player rights = DIAMOND_DONATOR	
