[10/6/25 11:48PM] Delicious used command ::vote | Player rights = PLAYER	
[10/6/25 11:49PM] Delicious used command ::ref | Player rights = PLAYER	
[10/6/25 11:49PM] Delicious used command ::ref | Player rights = PLAYER	
[10/6/25 11:49PM] Delicious used command ::ref | Player rights = PLAYER	
[10/6/25 11:51PM] Delicious used command ::commands | Player rights = PLAYER	
[10/6/25 11:51PM] Delicious used command ::pos | Player rights = PLAYER	
[10/6/25 11:53PM] Delicious used command ::vote | Player rights = PLAYER	
[10/6/25 11:53PM] Delicious used command ::stasks | Player rights = PLAYER	
[10/6/25 11:53PM] Delicious used command ::staretr | Player rights = PLAYER	
[10/6/25 11:53PM] Delicious used command ::starter | Player rights = PLAYER	
[10/6/25 11:54PM] Delicious used command ::vote | Player rights = PLAYER	
[10/6/25 11:55PM] Delicious used command ::voted | Player rights = PLAYER	
[10/6/25 11:55PM] Delicious used command ::vote | Player rights = PLAYER	
[10/6/25 11:55PM] Delicious used command ::voted | Player rights = PLAYER	
[10/6/25 11:55PM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 12:00AM] Delicious used command ::claim | Player rights = PLAYER	
[10/7/25 12:00AM] Delicious used command ::claim | Player rights = PLAYER	
[10/7/25 12:01AM] Delicious used command ::voted | Player rights = PLAYER	
[10/7/25 12:07AM] Delicious used command ::tasks | Player rights = PLAYER	
[10/7/25 12:10AM] Delicious used command ::ref | Player rights = PLAYER	
[10/7/25 12:11AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 12:13AM] Delicious used command ::claim | Player rights = PLAYER	
[10/7/25 12:13AM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 12:15AM] Delicious used command ::vote | Player rights = PLAYER	
[10/7/25 12:20AM] Delicious used command ::claim | Player rights = PLAYER	
[10/7/25 12:20AM] Delicious used command ::voted | Player rights = PLAYER	
[10/7/25 12:25AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 12:26AM] Delicious used command ::dk | Player rights = PLAYER	
[10/7/25 12:26AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 12:27AM] Delicious used command ::daily | Player rights = PLAYER	
[10/7/25 12:37AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 12:39AM] Delicious used command ::startertasks | Player rights = PLAYER	
[10/7/25 12:40AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 12:47AM] Delicious used command ::train | Player rights = PLAYER	
[10/7/25 12:50AM] Delicious used command ::answer 17 | Player rights = PLAYER	
[10/7/25 12:50AM] Delicious used command ::trivia | Player rights = PLAYER	
[10/7/25 12:50AM] Delicious used command ::answer5 55 | Player rights = PLAYER	
