[10/6/25 09:19PM] Dox used command ::train | Player rights = PLAYER	
[10/6/25 09:24PM] Dox used command ::discord | Player rights = PLAYER	
[10/6/25 09:25PM] Dox used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 09:27PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 09:27PM] Dox used command ::home | Player rights = EMERALD_DONATOR	
[10/6/25 09:28PM] Dox used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 09:30PM] Dox used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 09:31PM] Dox used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 09:31PM] Dox used command ::vboss | Player rights = EMERALD_DONATOR	
[10/6/25 09:32PM] Dox used command ::vboss | Player rights = EMERALD_DONATOR	
[10/6/25 09:32PM] Dox used command ::vboss | Player rights = EMERALD_DONATOR	
[10/6/25 09:34PM] Dox used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 09:34PM] Dox used command ::vote | Player rights = EMERALD_DONATOR	
[10/6/25 09:35PM] Dox used command ::vote | Player rights = EMERALD_DONATOR	
[10/6/25 09:36PM] Dox used command ::voted | Player rights = EMERALD_DONATOR	
[10/6/25 09:36PM] Dox used command ::claimvotes | Player rights = EMERALD_DONATOR	
[10/6/25 09:36PM] Dox used command ::claim | Player rights = EMERALD_DONATOR	
[10/6/25 09:36PM] Dox used command ::claimvote | Player rights = EMERALD_DONATOR	
[10/6/25 09:36PM] Dox used command ::reward 1 all | Player rights = EMERALD_DONATOR	
[10/6/25 09:46PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 09:52PM] Dox used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/6/25 09:52PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 09:54PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 09:54PM] Dox used command ::::startertasks | Player rights = EMERALD_DONATOR	
[10/6/25 09:54PM] Dox used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/6/25 09:56PM] Dox used command ::claimvotes | Player rights = EMERALD_DONATOR	
[10/6/25 09:56PM] Dox used command ::vote | Player rights = EMERALD_DONATOR	
[10/6/25 09:56PM] Dox used command ::reward 1 | Player rights = EMERALD_DONATOR	
[10/6/25 09:56PM] Dox used command ::voted | Player rights = EMERALD_DONATOR	
[10/6/25 09:58PM] Dox used command ::claim | Player rights = EMERALD_DONATOR	
[10/6/25 10:01PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 10:01PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 10:06PM] Dox used command ::answer 1 | Player rights = EMERALD_DONATOR	
[10/6/25 10:06PM] Dox used command ::answer 10000 | Player rights = EMERALD_DONATOR	
[10/6/25 10:07PM] Dox used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 10:08PM] Dox used command ::startertasks | Player rights = EMERALD_DONATOR	
[10/6/25 10:10PM] Dox used command ::startertasks | Player rights = EMERALD_DONATOR	
