[10/13/25 06:46PM] Dracky used command ::ref | Player rights = PLAYER	
[10/13/25 06:49PM] Dracky used command ::bank | Player rights = PLAYER	
[10/13/25 06:49PM] Dracky used command ::nephilim | Player rights = PLAYER	
[10/13/25 06:53PM] Dracky used command ::vboss | Player rights = PLAYER	
[10/13/25 06:56PM] Dracky used command ::vboss | Player rights = PLAYER	
[10/13/25 06:58PM] Dracky used command ::nephilim | Player rights = PLAYER	
[10/13/25 07:00PM] Dracky used command ::bank | Player rights = PLAYER	
[10/13/25 07:00PM] Dracky used command ::NI[HILIM | Player rights = PLAYER	
[10/13/25 07:00PM] Dracky used command ::NEPHIMIM | Player rights = PLAYER	
[10/13/25 07:00PM] Dracky used command ::nephilim | Player rights = PLAYER	
[10/13/25 07:03PM] Dracky used command ::nephilim | Player rights = PLAYER	
[10/13/25 07:09PM] Dracky used command ::yell i am an adulttttt | Player rights = PLAYER	
[10/13/25 07:11PM] Dracky used command ::vboss | Player rights = PLAYER	
[10/13/25 07:14PM] Dracky used command ::slayerboss | Player rights = PLAYER	
[10/13/25 07:22PM] Dracky used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:27PM] Dracky used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:32PM] Dracky used command ::vote | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:33PM] Dracky used command ::voted | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:33PM] Dracky used command ::reward 1 all | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:34PM] Dracky used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:36PM] Dracky used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:39PM] Dracky used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:47PM] Dracky used command :::EVENT | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:47PM] Dracky used command ::DROPPARTY | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:48PM] Dracky used command ::DROPPARTY | Player rights = SAPPHIRE_DONATOR	
[10/14/25 07:18PM] Dracky used command ::vote | Player rights = SAPPHIRE_DONATOR	
[10/14/25 07:19PM] Dracky used command ::voted | Player rights = SAPPHIRE_DONATOR	
[10/14/25 07:21PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:22PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/14/25 07:22PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:23PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/14/25 07:23PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:23PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:25PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:25PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:26PM] Dracky used command ::pos | Player rights = EMERALD_DONATOR	
[10/14/25 07:26PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/14/25 07:26PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:28PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:31PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:33PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/14/25 07:34PM] Dracky used command ::curseson | Player rights = EMERALD_DONATOR	
[10/14/25 07:52PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:41AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:42AM] Dracky used command ::dk | Player rights = EMERALD_DONATOR	
[10/15/25 11:47AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:48AM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 11:49AM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 11:50AM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 11:51AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:52AM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 11:56AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:57AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:57AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 11:59AM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:00PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:01PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:04PM] Dracky used command ::vote | Player rights = EMERALD_DONATOR	
[10/15/25 12:04PM] Dracky used command ::voted | Player rights = EMERALD_DONATOR	
[10/15/25 12:06PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:09PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:14PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:15PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:16PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:18PM] Dracky used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/15/25 12:21PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:23PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:24PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:25PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:25PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:25PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:26PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:26PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:26PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:31PM] Dracky used command ::oldhome | Player rights = EMERALD_DONATOR	
[10/15/25 12:31PM] Dracky used command ::home1 | Player rights = EMERALD_DONATOR	
[10/15/25 12:32PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:37PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:38PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:38PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:40PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:40PM] Dracky used command ::vozzath | Player rights = EMERALD_DONATOR	
[10/15/25 12:41PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:41PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:45PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 12:47PM] Dracky used command ::home | Player rights = EMERALD_DONATOR	
[10/15/25 12:55PM] Dracky used command ::bank | Player rights = EMERALD_DONATOR	
[10/15/25 01:02PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:03PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:04PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:05PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:06PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:10PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:11PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:11PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:12PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:14PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:31PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:35PM] Dracky used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/15/25 01:35PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:35PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:35PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:36PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:37PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:38PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:42PM] Dracky used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/15/25 01:44PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:44PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:56PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 01:56PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
[10/15/25 04:14PM] Dracky used command ::neraku | Player rights = RUBY_DONATOR	
[10/15/25 04:15PM] Dracky used command ::naraku | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::voted | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::rzone | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::rub y | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::rdzone | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::rzone | Player rights = RUBY_DONATOR	
[10/16/25 02:28PM] Dracky used command ::dzone | Player rights = RUBY_DONATOR	
[10/16/25 02:30PM] Dracky used command ::voted | Player rights = RUBY_DONATOR	
[10/16/25 02:30PM] Dracky used command ::ruby | Player rights = RUBY_DONATOR	
[10/16/25 02:46PM] Dracky used command ::bank | Player rights = RUBY_DONATOR	
