[10/7/25 06:00PM] Evilspot used command ::vote | Player rights = PLAYER	
[10/7/25 06:02PM] Evilspot used command ::global | Player rights = PLAYER	
[10/7/25 06:06PM] Evilspot used command ::nephilim | Player rights = PLAYER	
[10/7/25 06:06PM] Evilspot used command ::vote | Player rights = PLAYER	
[10/7/25 06:08PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:09PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:14PM] Evilspot used command ::nephilim | Player rights = PLAYER	
[10/7/25 06:18PM] Evilspot used command ::perk | Player rights = PLAYER	
[10/7/25 06:18PM] Evilspot used command ::perks | Player rights = PLAYER	
[10/7/25 06:20PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:21PM] Evilspot used command ::bank | Player rights = PLAYER	
[10/7/25 06:24PM] Evilspot used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/7/25 06:26PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:32PM] Evilspot used command ::starter | Player rights = EMERALD_DONATOR	
[10/7/25 06:34PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:34PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:45PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:47PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:47PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:47PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:47PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:54PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:55PM] Evilspot used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 06:56PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:57PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 06:59PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:00PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:00PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:00PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:01PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:01PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:02PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:02PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:03PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:03PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:03PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:04PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:04PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:04PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:04PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:04PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:06PM] Evilspot used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/7/25 07:10PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:10PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:10PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:13PM] Evilspot used command ::dropparty | Player rights = EMERALD_DONATOR	
[10/7/25 07:16PM] Evilspot used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 07:25PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:25PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:26PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:26PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:26PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:26PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:27PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:28PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:29PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:29PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:29PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 07:29PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:30PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:33PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:47PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:54PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:55PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:56PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:57PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:57PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:00PM] Evilspot used command ::perks | Player rights = EMERALD_DONATOR	
[10/7/25 08:04PM] Evilspot used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 08:05PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:06PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:22PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:24PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:25PM] Evilspot used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 08:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:29PM] Evilspot used command ::voted | Player rights = EMERALD_DONATOR	
[10/7/25 08:29PM] Evilspot used command ::Reward 1 all | Player rights = EMERALD_DONATOR	
[10/7/25 08:29PM] Evilspot used command ::commands | Player rights = EMERALD_DONATOR	
[10/7/25 08:30PM] Evilspot used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 08:30PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:31PM] Evilspot used command ::reward 1 all | Player rights = EMERALD_DONATOR	
[10/7/25 08:34PM] Evilspot used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 08:35PM] Evilspot used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 08:36PM] Evilspot used command ::iron | Player rights = EMERALD_DONATOR	
[10/7/25 08:37PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:43PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:55PM] Evilspot used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/7/25 09:00PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:00PM] Evilspot used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/7/25 09:01PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:02PM] Evilspot used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/7/25 09:05PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:07PM] Evilspot used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 09:12PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:13PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:13PM] Evilspot used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 09:16PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:17PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:17PM] Evilspot used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/7/25 09:18PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:18PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:20PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:26PM] Evilspot used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 09:34PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:35PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:36PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:36PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:36PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:36PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:37PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:37PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:37PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:38PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:38PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:38PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:39PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:40PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:40PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:40PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:41PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:41PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:41PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:42PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:43PM] Evilspot used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/7/25 09:43PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:45PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:26PM] Evilspot used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 10:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:27PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:29PM] Evilspot used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 10:29PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:42PM] Evilspot used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 10:45PM] Evilspot used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 10:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:46PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:48PM] Evilspot used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 10:49PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:17PM] Evilspot used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 11:28PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:30PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:30PM] Evilspot used command ::pos | Player rights = EMERALD_DONATOR	
[10/7/25 11:32PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:32PM] Evilspot used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 11:32PM] Evilspot used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 11:33PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:37PM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 12:58AM] Evilspot used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 07:59PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:00PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:01PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:01PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:01PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:01PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:01PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:02PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:03PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:03PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:03PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:03PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:03PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:04PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:05PM] Evilspot used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/8/25 08:05PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:21PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:21PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:23PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 08:33PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:09PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:09PM] Evilspot used command ::upgrade | Player rights = RUBY_DONATOR	
[10/8/25 09:34PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:35PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:41PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:44PM] Evilspot used command ::upgrade | Player rights = RUBY_DONATOR	
[10/8/25 09:45PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:53PM] Evilspot used command ::slayerboss | Player rights = RUBY_DONATOR	
[10/8/25 09:58PM] Evilspot used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 09:59PM] Evilspot used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/8/25 10:01PM] Evilspot used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/8/25 10:02PM] Evilspot used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/8/25 10:05PM] Evilspot used command ::hellraiser | Player rights = RUBY_DONATOR	
