[10/7/25 01:19AM] Ezpz Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:24AM] Ezpz Ghijf used command ::seasonpass | Player rights = PLAYER	
[10/7/25 01:30AM] Ezpz Ghijf used command ::ref | Player rights = PLAYER	
[10/7/25 01:31AM] Ezpz Ghijf used command ::ref | Player rights = PLAYER	
[10/7/25 01:32AM] Ezpz Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 01:34AM] Ezpz Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:36AM] Ezpz Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:37AM] Ezpz Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 01:42AM] Ezpz Ghijf used command ::drops | Player rights = PLAYER	
[10/7/25 01:52AM] Ezpz Ghijf used command ::edge | Player rights = PLAYER	
[10/7/25 01:52AM] Ezpz Ghijf used command ::edge | Player rights = PLAYER	
[10/7/25 01:52AM] Ezpz Ghijf used command ::lumbridge | Player rights = PLAYER	
[10/7/25 01:52AM] Ezpz Ghijf used command ::oldhome | Player rights = PLAYER	
[10/7/25 01:53AM] Ezpz Ghijf used command ::home2 | Player rights = PLAYER	
[10/7/25 01:53AM] Ezpz Ghijf used command ::sp | Player rights = PLAYER	
[10/7/25 01:53AM] Ezpz Ghijf used command ::seasonpass | Player rights = PLAYER	
[10/7/25 01:56AM] Ezpz Ghijf used command ::nm | Player rights = PLAYER	
[10/7/25 01:57AM] Ezpz Ghijf used command ::naraku | Player rights = PLAYER	
[10/7/25 02:13AM] Ezpz Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 02:14AM] Ezpz Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 02:20AM] Ezpz Ghijf used command ::ref | Player rights = PLAYER	
[10/9/25 12:11AM] Ezpz Ghijf used command ::pos | Player rights = PLAYER	
[10/9/25 12:12AM] Ezpz Ghijf used command ::pos | Player rights = PLAYER	
[10/9/25 12:12AM] Ezpz Ghijf used command ::pos | Player rights = PLAYER	
[10/9/25 12:12AM] Ezpz Ghijf used command ::pos | Player rights = PLAYER	
[10/9/25 12:14AM] Ezpz Ghijf used command ::whatdrops masori | Player rights = PLAYER	
[10/9/25 12:14AM] Ezpz Ghijf used command ::whatdrops fantasy | Player rights = PLAYER	
[10/9/25 12:14AM] Ezpz Ghijf used command ::whatdrops plutonic | Player rights = PLAYER	
[10/9/25 12:15AM] Ezpz Ghijf used command ::whatdrops plutonic amulet | Player rights = PLAYER	
[10/9/25 12:15AM] Ezpz Ghijf used command ::whatdrops winter | Player rights = PLAYER	
[10/9/25 12:15AM] Ezpz Ghijf used command ::whatdrops autumn | Player rights = PLAYER	
[10/9/25 12:15AM] Ezpz Ghijf used command ::whatdrops legends | Player rights = PLAYER	
[10/9/25 12:16AM] Ezpz Ghijf used command ::whatdrops offhand | Player rights = PLAYER	
[10/9/25 12:16AM] Ezpz Ghijf used command ::whatdrops sanguine | Player rights = PLAYER	
[10/9/25 12:16AM] Ezpz Ghijf used command ::whatdrops blue | Player rights = PLAYER	
[10/9/25 12:17AM] Ezpz Ghijf used command ::whatdrops white | Player rights = PLAYER	
[10/9/25 12:17AM] Ezpz Ghijf used command ::whatdrops necromancer | Player rights = PLAYER	
[10/9/25 12:29AM] Ezpz Ghijf used command ::pets | Player rights = PLAYER	
[10/9/25 12:42AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/9/25 12:44AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/9/25 01:02PM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/9/25 11:56PM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/10/25 12:01AM] Ezpz Ghijf used command ::train | Player rights = PLAYER	
[10/10/25 12:06AM] Ezpz Ghijf used command ::prstige | Player rights = PLAYER	
[10/10/25 12:06AM] Ezpz Ghijf used command ::prestige | Player rights = PLAYER	
[10/10/25 12:08AM] Ezpz Ghijf used command ::collectionlog | Player rights = PLAYER	
[10/10/25 12:24AM] Ezpz Ghijf used command ::train | Player rights = PLAYER	
[10/10/25 12:41AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/10/25 12:44AM] Ezpz Ghijf used command ::collectionlog | Player rights = PLAYER	
[10/10/25 01:44AM] Ezpz Ghijf used command ::whatdrops sword | Player rights = PLAYER	
[10/10/25 01:44AM] Ezpz Ghijf used command ::whatdrops offhand | Player rights = PLAYER	
[10/10/25 01:44AM] Ezpz Ghijf used command ::whatdrops aura | Player rights = PLAYER	
[10/10/25 04:36PM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/10/25 04:38PM] Ezpz Ghijf used command ::train | Player rights = PLAYER	
[10/10/25 04:44PM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/10/25 04:47PM] Ezpz Ghijf used command ::afk | Player rights = PLAYER	
[10/10/25 07:14PM] Ezpz Ghijf used command ::dk | Player rights = PLAYER	
[10/10/25 07:14PM] Ezpz Ghijf used command ::dk | Player rights = PLAYER	
[10/10/25 07:15PM] Ezpz Ghijf used command ::vboss | Player rights = PLAYER	
[10/11/25 01:23AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/11/25 01:24AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/11/25 01:27AM] Ezpz Ghijf used command ::upgrade | Player rights = PLAYER	
[10/11/25 01:36AM] Ezpz Ghijf used command ::collectionlog | Player rights = PLAYER	
[10/11/25 01:38AM] Ezpz Ghijf used command ::collectionlog | Player rights = PLAYER	
[10/11/25 01:46AM] Ezpz Ghijf used command ::commands | Player rights = PLAYER	
[10/11/25 01:52AM] Ezpz Ghijf used command ::zeus | Player rights = PLAYER	
[10/11/25 03:38AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/11/25 04:03AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/11/25 05:19AM] Ezpz Ghijf used command ::afk | Player rights = PLAYER	
[10/11/25 05:19AM] Ezpz Ghijf used command ::claim | Player rights = PLAYER	
[10/11/25 05:21AM] Ezpz Ghijf used command ::nephilim | Player rights = PLAYER	
[10/11/25 05:27AM] Ezpz Ghijf used command ::hellraiser | Player rights = PLAYER	
[10/11/25 06:54AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/11/25 06:56AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/11/25 07:23AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/11/25 07:23AM] Ezpz Ghijf used command ::raids | Player rights = PLAYER	
[10/11/25 07:24AM] Ezpz Ghijf used command ::teleport | Player rights = PLAYER	
[10/11/25 07:27AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/11/25 07:36AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 12:57AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 12:57AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/12/25 12:58AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 12:58AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 12:59AM] Ezpz Ghijf used command ::dbz | Player rights = PLAYER	
[10/12/25 01:01AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 01:01AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/12/25 01:08AM] Ezpz Ghijf used command ::whatdrops owner's cape | Player rights = PLAYER	
[10/12/25 01:08AM] Ezpz Ghijf used command ::chatdrops midnight body | Player rights = PLAYER	
[10/12/25 01:09AM] Ezpz Ghijf used command ::whatdrops midnight body | Player rights = PLAYER	
[10/12/25 01:09AM] Ezpz Ghijf used command ::whatdrops deity bootqs | Player rights = PLAYER	
[10/12/25 01:09AM] Ezpz Ghijf used command ::whatdrops deity boots | Player rights = PLAYER	
[10/12/25 01:10AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 01:12AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:13AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/12/25 01:13AM] Ezpz Ghijf used command ::bank | Player rights = PLAYER	
[10/12/25 01:14AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:15AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:15AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:15AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:16AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:16AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:17AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:17AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:20AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:21AM] Ezpz Ghijf used command ::shops | Player rights = PLAYER	
[10/12/25 01:25AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 01:25AM] Ezpz Ghijf used command ::dissolveall | Player rights = PLAYER	
[10/12/25 01:26AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 04:26AM] Ezpz Ghijf used command ::afkboss | Player rights = PLAYER	
[10/12/25 04:29AM] Ezpz Ghijf used command ::dk | Player rights = PLAYER	
[10/12/25 04:35AM] Ezpz Ghijf used command ::naraku | Player rights = PLAYER	
[10/12/25 04:38AM] Ezpz Ghijf used command ::naraku | Player rights = PLAYER	
[10/12/25 06:17AM] Ezpz Ghijf used command ::afk | Player rights = PLAYER	
[10/12/25 06:18AM] Ezpz Ghijf used command ::startertasks | Player rights = PLAYER	
[10/12/25 06:18AM] Ezpz Ghijf used command ::daily | Player rights = PLAYER	
[10/12/25 06:20AM] Ezpz Ghijf used command ::afk | Player rights = PLAYER	
[10/12/25 06:20AM] Ezpz Ghijf used command ::sapphire | Player rights = PLAYER	
[10/12/25 06:21AM] Ezpz Ghijf used command ::perks | Player rights = PLAYER	
[10/12/25 06:21AM] Ezpz Ghijf used command ::sapphire | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:21AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:22AM] Ezpz Ghijf used command ::help | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:23AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/12/25 07:55AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/12/25 08:02AM] Ezpz Ghijf used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:02PM] Ezpz Ghijf used command ::answer varock | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:06PM] Ezpz Ghijf used command ::pos | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:06PM] Ezpz Ghijf used command ::pos | Player rights = SAPPHIRE_DONATOR	
[10/12/25 12:22PM] Ezpz Ghijf used command ::perks | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:26PM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:26PM] Ezpz Ghijf used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/12/25 06:28PM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/13/25 05:07AM] Ezpz Ghijf used command ::dk | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:04AM] Ezpz Ghijf used command ::afkboss | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:05AM] Ezpz Ghijf used command ::naraku | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:10AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:14AM] Ezpz Ghijf used command ::vozzath | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:14AM] Ezpz Ghijf used command ::vozzath | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:14AM] Ezpz Ghijf used command ::vozzath | Player rights = SAPPHIRE_DONATOR	
[10/13/25 08:23AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:20PM] Ezpz Ghijf used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/13/25 07:20PM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 04:57AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 04:57AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:09AM] Ezpz Ghijf used command ::naraku | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:11AM] Ezpz Ghijf used command ::oz | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:14AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:14AM] Ezpz Ghijf used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:14AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 05:14AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
[10/14/25 06:40AM] Ezpz Ghijf used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/14/25 06:41AM] Ezpz Ghijf used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/14/25 06:42AM] Ezpz Ghijf used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/14/25 06:42AM] Ezpz Ghijf used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/14/25 07:21AM] Ezpz Ghijf used command ::afk | Player rights = SAPPHIRE_DONATOR	
