[10/7/25 12:24AM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 12:25AM] Ghijf used command ::bank | Player rights = PLAYER	
[10/7/25 12:25AM] Ghijf used command ::bank | Player rights = PLAYER	
[10/7/25 12:29AM] Ghijf used command ::vote | Player rights = PLAYER	
[10/7/25 12:29AM] Ghijf used command ::voted | Player rights = PLAYER	
[10/7/25 12:29AM] Ghijf used command ::claim | Player rights = PLAYER	
[10/7/25 12:29AM] Ghijf used command ::voted | Player rights = PLAYER	
[10/7/25 12:30AM] Ghijf used command ::claim | Player rights = PLAYER	
[10/7/25 12:30AM] Ghijf used command ::reward | Player rights = PLAYER	
[10/7/25 12:32AM] Ghijf used command ::commands | Player rights = PLAYER	
[10/7/25 12:32AM] Ghijf used command ::dz | Player rights = PLAYER	
[10/7/25 12:32AM] Ghijf used command ::dzone | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::shops::shops | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::shops | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 12:37AM] Ghijf used command ::upgrade | Player rights = PLAYER	
[10/7/25 12:40AM] Ghijf used command ::afk | Player rights = PLAYER	
[10/7/25 01:01AM] Ghijf used command ::upgrade | Player rights = PLAYER	
[10/7/25 01:02AM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:11AM] Ghijf used command ::duel | Player rights = PLAYER	
[10/7/25 01:13AM] Ghijf used command ::bp | Player rights = PLAYER	
[10/7/25 01:13AM] Ghijf used command ::sp | Player rights = PLAYER	
[10/7/25 01:13AM] Ghijf used command ::seasonpass | Player rights = PLAYER	
[10/7/25 01:14AM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:20AM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:21AM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:26AM] Ghijf used command ::max | Player rights = PLAYER	
[10/7/25 01:26AM] Ghijf used command ::maxhit | Player rights = PLAYER	
[10/7/25 01:26AM] Ghijf used command ::maxhit | Player rights = PLAYER	
[10/7/25 01:29AM] Ghijf used command ::maxhit | Player rights = PLAYER	
[10/7/25 01:29AM] Ghijf used command ::maxhit | Player rights = PLAYER	
[10/7/25 01:30AM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:30AM] Ghijf used command ::ref | Player rights = PLAYER	
[10/7/25 01:30AM] Ghijf used command ::ref | Player rights = PLAYER	
[10/7/25 01:38AM] Ghijf used command ::help | Player rights = PLAYER	
[10/7/25 01:39AM] Ghijf used command ::god | Player rights = PLAYER	
[10/7/25 01:39AM] Ghijf used command ::godmode | Player rights = PLAYER	
[10/7/25 01:39AM] Ghijf used command ::item 773 13 | Player rights = PLAYER	
[10/7/25 01:44AM] Ghijf used command ::claim | Player rights = PLAYER	
[10/7/25 01:44AM] Ghijf used command ::reward | Player rights = PLAYER	
[10/7/25 01:44AM] Ghijf used command ::redeem | Player rights = PLAYER	
[10/7/25 01:44AM] Ghijf used command ::voted | Player rights = PLAYER	
[10/7/25 01:46AM] Ghijf used command ::melee | Player rights = PLAYER	
[10/7/25 01:46AM] Ghijf used command ::melee | Player rights = PLAYER	
[10/7/25 01:46AM] Ghijf used command ::globals | Player rights = PLAYER	
[10/7/25 01:51AM] Ghijf used command ::home | Player rights = PLAYER	
[10/7/25 01:53AM] Ghijf used command ::seasonpass | Player rights = PLAYER	
[10/7/25 02:08AM] Ghijf used command ::upgrade | Player rights = PLAYER	
[10/7/25 02:08AM] Ghijf used command ::upgrade | Player rights = PLAYER	
[10/7/25 02:09AM] Ghijf used command ::upgrade | Player rights = PLAYER	
[10/7/25 02:12AM] Ghijf used command ::drops | Player rights = PLAYER	
[10/7/25 02:12AM] Ghijf used command ::itemdrops | Player rights = PLAYER	
[10/7/25 02:17AM] Ghijf used command ::shops::afk | Player rights = PLAYER	
[10/7/25 02:21AM] Ghijf used command ::afk | Player rights = PLAYER	
[10/7/25 02:21AM] Ghijf used command ::afk | Player rights = PLAYER	
[10/7/25 02:21AM] Ghijf used command ::afk | Player rights = PLAYER	
[10/7/25 12:58PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 12:59PM] Ghijf used command ::bank | Player rights = PLAYER	
[10/7/25 01:02PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:04PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:05PM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:05PM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:08PM] Ghijf used command ::vboss | Player rights = PLAYER	
[10/7/25 01:19PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:20PM] Ghijf used command ::bank | Player rights = PLAYER	
[10/7/25 01:26PM] Ghijf used command ::onyx | Player rights = PLAYER	
[10/7/25 01:26PM] Ghijf used command ::onyx | Player rights = PLAYER	
[10/7/25 01:26PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:35PM] Ghijf used command ::train | Player rights = PLAYER	
[10/7/25 01:35PM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:37PM] Ghijf used command ::answer 10 | Player rights = PLAYER	
[10/7/25 01:38PM] Ghijf used command ::hellraiser | Player rights = PLAYER	
[10/7/25 01:38PM] Ghijf used command ::hellraiser | Player rights = PLAYER	
[10/7/25 01:39PM] Ghijf used command ::vote | Player rights = PLAYER	
[10/7/25 01:44PM] Ghijf used command ::dr | Player rights = PLAYER	
[10/7/25 01:44PM] Ghijf used command ::bank | Player rights = PLAYER	
