[10/11/25 10:33PM] God Tier used command ::ref | Player rights = PLAYER	
[10/11/25 10:36PM] God Tier used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/11/25 10:37PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:37PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:38PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:39PM] God Tier used command ::starter | Player rights = EMERALD_DONATOR	
[10/11/25 10:39PM] God Tier used command ::vboss | Player rights = EMERALD_DONATOR	
[10/11/25 10:41PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:45PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:45PM] God Tier used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/11/25 10:47PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:51PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:53PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:53PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:53PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:54PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 10:54PM] God Tier used command ::shops | Player rights = EMERALD_DONATOR	
[10/11/25 10:56PM] God Tier used command ::train | Player rights = EMERALD_DONATOR	
[10/11/25 10:56PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:01PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:03PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:04PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:04PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:04PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:05PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:06PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 11:06PM] God Tier used command ::bank | Player rights = EMERALD_DONATOR	
