[10/6/25 05:10AM] Grand used command ::vote | Player rights = PLAYER	
[10/6/25 05:11AM] Grand used command ::Ref | Player rights = PLAYER	
[10/6/25 05:12AM] Grand used command ::Ref | Player rights = PLAYER	
[10/6/25 05:12AM] Grand used command ::daily | Player rights = PLAYER	
[10/6/25 05:24AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 05:26AM] Grand used command ::daily | Player rights = RUBY_DONATOR	
[10/6/25 05:34AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 05:55AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 05:56AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 05:56AM] Grand used command ::iron | Player rights = RUBY_DONATOR	
[10/6/25 05:59AM] Grand used command ::dk | Player rights = RUBY_DONATOR	
[10/6/25 06:15AM] Grand used command ::naraku | Player rights = RUBY_DONATOR	
[10/6/25 06:17AM] Grand used command ::iron | Player rights = RUBY_DONATOR	
[10/6/25 06:20AM] Grand used command ::ezone | Player rights = RUBY_DONATOR	
[10/6/25 06:20AM] Grand used command ::dz | Player rights = RUBY_DONATOR	
[10/6/25 06:20AM] Grand used command ::dzone | Player rights = RUBY_DONATOR	
[10/6/25 06:20AM] Grand used command ::di | Player rights = RUBY_DONATOR	
[10/6/25 06:21AM] Grand used command ::rubyzone | Player rights = RUBY_DONATOR	
[10/6/25 06:21AM] Grand used command ::rzone | Player rights = RUBY_DONATOR	
[10/6/25 06:33AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 06:34AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 06:35AM] Grand used command ::platinum | Player rights = RUBY_DONATOR	
[10/6/25 06:35AM] Grand used command ::chests | Player rights = RUBY_DONATOR	
[10/6/25 06:35AM] Grand used command ::chest | Player rights = RUBY_DONATOR	
[10/6/25 06:39AM] Grand used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 06:39AM] Grand used command ::naraku | Player rights = RUBY_DONATOR	
[10/6/25 06:42AM] Grand used command ::dk | Player rights = RUBY_DONATOR	
[10/6/25 06:53AM] Grand used command ::bank | Player rights = DIAMOND_DONATOR	
