[10/7/25 01:44PM] H8 used command ::Dr | Player rights = PLAYER	
[10/7/25 01:56PM] H8 used command ::starter | Player rights = EMERALD_DONATOR	
[10/7/25 02:08PM] H8 used command ::dr | Player rights = EMERALD_DONATOR	
[10/7/25 02:21PM] H8 used command ::Dz | Player rights = EMERALD_DONATOR	
[10/7/25 02:21PM] H8 used command ::dz | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] H8 used command ::donatorzone | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] H8 used command ::commands | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] H8 used command ::range | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] H8 used command ::dzone | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] H8 used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 02:23PM] H8 used command ::afkboss | Player rights = EMERALD_DONATOR	
[10/7/25 02:24PM] H8 used command ::Range | Player rights = EMERALD_DONATOR	
[10/7/25 02:25PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:26PM] H8 used command ::nm | Player rights = EMERALD_DONATOR	
[10/7/25 02:40PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:40PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:41PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:41PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:55PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:56PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:59PM] H8 used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 03:02PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:05PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:06PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:06PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:07PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:07PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:08PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:09PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:13PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:26PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:26PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:27PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:28PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:29PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:30PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:31PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:31PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:31PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:32PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:32PM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 03:34PM] H8 used command ::dR | Player rights = EMERALD_DONATOR	
[10/7/25 03:34PM] H8 used command ::PASS | Player rights = EMERALD_DONATOR	
[10/7/25 03:38PM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 03:43PM] H8 used command ::Emerald | Player rights = EMERALD_DONATOR	
[10/8/25 10:50AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 10:54AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 10:59AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:00AM] H8 used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/8/25 11:01AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:02AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 11:06AM] H8 used command ::bank | Player rights = EMERALD_DONATOR	
