[10/4/25 08:23PM] Hank used command ::yell yes sir | Player rights = OWNER	
[10/4/25 08:23PM] Hank used command ::commands | Player rights = OWNER	
[10/4/25 08:24PM] Hank used command ::getid chests | Player rights = OWNER	
[10/4/25 08:24PM] Hank used command ::getid owner | Player rights = OWNER	
[10/4/25 08:24PM] Hank used command ::upgrade | Player rights = OWNER	
[10/4/25 08:24PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:25PM] Hank used command ::yell nice | Player rights = OWNER	
[10/4/25 08:25PM] Hank used command ::shops | Player rights = OWNER	
[10/4/25 08:26PM] Hank used command ::yell nice | Player rights = OWNER	
[10/4/25 08:30PM] Hank used command ::item 4186 100 | Player rights = OWNER	
[10/4/25 08:30PM] Hank used command ::item 23253 100 | Player rights = OWNER	
[10/4/25 08:31PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:32PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:32PM] Hank used command ::yell yo join cc help | Player rights = OWNER	
[10/4/25 08:34PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:38PM] Hank used command ::god | Player rights = OWNER	
[10/4/25 08:42PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:42PM] Hank used command ::master | Player rights = OWNER	
[10/4/25 08:43PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:43PM] Hank used command ::item 14639 500000 | Player rights = OWNER	
[10/4/25 08:44PM] Hank used command ::afkboss | Player rights = OWNER	
[10/4/25 08:46PM] Hank used command ::item 13664 1 | Player rights = OWNER	
[10/4/25 08:47PM] Hank used command ::item 10826 | Player rights = OWNER	
[10/4/25 08:47PM] Hank used command ::item 10829 | Player rights = OWNER	
[10/4/25 08:47PM] Hank used command ::item 13295 | Player rights = OWNER	
[10/4/25 08:48PM] Hank used command ::item 10828 | Player rights = OWNER	
[10/4/25 08:48PM] Hank used command ::item 10827 | Player rights = OWNER	
[10/4/25 08:48PM] Hank used command ::item 10793 | Player rights = OWNER	
[10/4/25 08:49PM] Hank used command ::item 10795 | Player rights = OWNER	
[10/4/25 08:49PM] Hank used command ::item 13843 | Player rights = OWNER	
[10/4/25 08:49PM] Hank used command ::item 13842 | Player rights = OWNER	
[10/4/25 08:49PM] Hank used command ::item 13841 | Player rights = OWNER	
[10/4/25 08:53PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 08:56PM] Hank used command ::god | Player rights = OWNER	
[10/4/25 08:59PM] Hank used command ::home | Player rights = OWNER	
[10/4/25 09:06PM] Hank used command ::dk | Player rights = OWNER	
[10/4/25 09:07PM] Hank used command ::wog | Player rights = OWNER	
[10/4/25 09:07PM] Hank used command ::per | Player rights = OWNER	
[10/4/25 09:07PM] Hank used command ::perk | Player rights = OWNER	
[10/4/25 09:07PM] Hank used command ::home | Player rights = OWNER	
[10/4/25 09:11PM] Hank used command ::owner | Player rights = OWNER	
[10/4/25 09:11PM] Hank used command ::ownerzone | Player rights = OWNER	
[10/4/25 09:11PM] Hank used command ::staffzone | Player rights = OWNER	
[10/4/25 09:12PM] Hank used command ::commands | Player rights = OWNER	
[10/4/25 09:14PM] Hank used command ::spawn eventboss | Player rights = OWNER	
[10/4/25 09:14PM] Hank used command ::event | Player rights = OWNER	
[10/4/25 09:14PM] Hank used command ::eventboss | Player rights = OWNER	
[10/4/25 09:15PM] Hank used command ::item 18485 | Player rights = OWNER	
[10/4/25 09:18PM] Hank used command ::bank | Player rights = OWNER	
[10/4/25 09:18PM] Hank used command ::maxpresige | Player rights = OWNER	
