[10/5/25 07:14AM] History Hawk used command ::dr | Player rights = PLAYER	
[10/5/25 07:21AM] History Hawk used command ::home | Player rights = PLAYER	
[10/5/25 07:32AM] History Hawk used command ::train | Player rights = PLAYER	
[10/5/25 07:41AM] History Hawk used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/5/25 07:43AM] History Hawk used command ::shops | Player rights = SAPPHIRE_DONATOR	
[10/5/25 07:54AM] History Hawk used command ::train | Player rights = SAPPHIRE_DONATOR	
[10/5/25 08:13AM] History Hawk used command ::shops | Player rights = SAPPHIRE_DONATOR	
[10/5/25 08:14AM] History Hawk used command ::zones | Player rights = SAPPHIRE_DONATOR	
[10/5/25 08:17AM] History Hawk used command ::shops | Player rights = SAPPHIRE_DONATOR	
[10/5/25 09:40AM] History Hawk used command ::daily | Player rights = SAPPHIRE_DONATOR	
[10/5/25 01:26PM] History Hawk used command ::dropparty | Player rights = SAPPHIRE_DONATOR	
[10/5/25 01:26PM] History Hawk used command ::dropparty | Player rights = SAPPHIRE_DONATOR	
[10/5/25 01:38PM] History Hawk used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/5/25 01:44PM] History Hawk used command ::bank | Player rights = RUBY_DONATOR	
[10/5/25 01:46PM] History Hawk used command ::Dr | Player rights = RUBY_DONATOR	
[10/5/25 06:26PM] History Hawk used command ::refer | Player rights = RUBY_DONATOR	
[10/6/25 05:32AM] History Hawk used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 06:24AM] History Hawk used command ::home | Player rights = RUBY_DONATOR	
[10/6/25 06:39AM] History Hawk used command ::naraku | Player rights = RUBY_DONATOR	
[10/6/25 06:42AM] History Hawk used command ::dk | Player rights = RUBY_DONATOR	
[10/6/25 07:09AM] History Hawk used command ::afkboss | Player rights = RUBY_DONATOR	
[10/7/25 07:45AM] History Hawk used command ::bank | Player rights = RUBY_DONATOR	
[10/7/25 07:45AM] History Hawk used command ::hllraiser | Player rights = RUBY_DONATOR	
[10/7/25 07:46AM] History Hawk used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/7/25 07:48AM] History Hawk used command ::dr | Player rights = RUBY_DONATOR	
[10/7/25 07:50AM] History Hawk used command ::dk | Player rights = RUBY_DONATOR	
[10/7/25 07:55AM] History Hawk used command ::home | Player rights = RUBY_DONATOR	
