[10/12/25 06:24AM] Hzal used command ::bank | Player rights = PLAYER	
[10/12/25 06:25AM] Hzal used command ::home | Player rights = PLAYER	
[10/12/25 07:04AM] Hzal used command ::bank | Player rights = PLAYER	
[10/12/25 07:11AM] Hzal used command ::bank | Player rights = PLAYER	
[10/12/25 07:17AM] Hzal used command ::seasonpass | Player rights = PLAYER	
[10/12/25 07:20AM] Hzal used command ::bank | Player rights = PLAYER	
[10/12/25 07:21AM] Hzal used command ::guides | Player rights = PLAYER	
[10/12/25 07:21AM] Hzal used command ::wiki | Player rights = PLAYER	
[10/12/25 07:38AM] Hzal used command ::home | Player rights = PLAYER	
[10/13/25 04:37AM] Hzal used command ::VOTE | Player rights = PLAYER	
[10/13/25 04:38AM] Hzal used command ::voted | Player rights = PLAYER	
[10/13/25 04:38AM] Hzal used command ::voted | Player rights = PLAYER	
[10/13/25 05:08AM] Hzal used command ::nm | Player rights = PLAYER	
[10/13/25 05:09AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:09AM] Hzal used command ::naraku | Player rights = PLAYER	
[10/13/25 05:10AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:10AM] Hzal used command ::voted | Player rights = PLAYER	
[10/13/25 05:11AM] Hzal used command ::redeem | Player rights = PLAYER	
[10/13/25 05:11AM] Hzal used command ::voted | Player rights = PLAYER	
[10/13/25 05:11AM] Hzal used command ::pc | Player rights = PLAYER	
[10/13/25 05:13AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:15AM] Hzal used command ::vote | Player rights = PLAYER	
[10/13/25 05:16AM] Hzal used command ::voted | Player rights = PLAYER	
[10/13/25 05:19AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:20AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:21AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:32AM] Hzal used command ::startertasks | Player rights = PLAYER	
[10/13/25 05:32AM] Hzal used command ::well | Player rights = PLAYER	
[10/13/25 05:38AM] Hzal used command ::shops | Player rights = PLAYER	
[10/13/25 05:48AM] Hzal used command ::ref | Player rights = PLAYER	
[10/13/25 05:52AM] Hzal used command ::naraku | Player rights = PLAYER	
