[10/7/25 12:25PM] Juggy used command ::starter | Player rights = PLAYER	
[10/7/25 12:36PM] Juggy used command ::bank | Player rights = PLAYER	
[10/7/25 12:37PM] Juggy used command ::answer varrock | Player rights = PLAYER	
[10/7/25 12:41PM] Juggy used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:41PM] Juggy used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:41PM] Juggy used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:42PM] Juggy used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:42PM] Juggy used command ::dissolveall | Player rights = PLAYER	
[10/7/25 12:43PM] Juggy used command ::starter | Player rights = PLAYER	
[10/7/25 12:52PM] Juggy used command ::ref | Player rights = PLAYER	
[10/7/25 12:57PM] Juggy used command ::answer uranus | Player rights = PLAYER	
[10/7/25 01:07PM] Juggy used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] Juggy used command ::upg | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] Juggy used command ::answer brutal staff | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:18PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:25PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:26PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:29PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:29PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:31PM] Juggy used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:31PM] Juggy used command ::Starter | Player rights = EMERALD_DONATOR	
[10/7/25 01:31PM] Juggy used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Juggy used command ::Starter | Player rights = EMERALD_DONATOR	
[10/7/25 01:35PM] Juggy used command ::Dr | Player rights = EMERALD_DONATOR	
[10/7/25 01:37PM] Juggy used command ::answer 100 | Player rights = EMERALD_DONATOR	
[10/7/25 01:37PM] Juggy used command ::answer 500 | Player rights = EMERALD_DONATOR	
[10/7/25 01:37PM] Juggy used command ::answer 300 | Player rights = EMERALD_DONATOR	
[10/7/25 01:37PM] Juggy used command ::answer 100$ | Player rights = EMERALD_DONATOR	
