[10/9/25 08:31PM] Kursed used command ::claimvote | Player rights = PLAYER	
[10/9/25 08:31PM] Kursed used command ::voted | Player rights = PLAYER	
[10/9/25 08:31PM] Kursed used command ::claim | Player rights = PLAYER	
[10/9/25 08:31PM] Kursed used command ::vote | Player rights = PLAYER	
[10/9/25 08:32PM] Kursed used command ::vote | Player rights = PLAYER	
[10/9/25 08:32PM] Kursed used command ::voted | Player rights = PLAYER	
[10/9/25 08:33PM] Kursed used command ::voted | Player rights = PLAYER	
[10/9/25 08:54PM] Kursed used command ::claimvote | Player rights = PLAYER	
[10/9/25 08:54PM] Kursed used command ::voted | Player rights = PLAYER	
[10/9/25 08:58PM] Kursed used command ::platinum | Player rights = PLAYER	
[10/9/25 10:06PM] Kursed used command ::guides | Player rights = PLAYER	
[10/9/25 10:06PM] Kursed used command ::guide | Player rights = PLAYER	
[10/9/25 10:15PM] Kursed used command ::dissolveall | Player rights = PLAYER	
[10/9/25 10:15PM] Kursed used command ::dissolveall | Player rights = PLAYER	
[10/9/25 10:18PM] Kursed used command ::afk | Player rights = PLAYER	
[10/10/25 12:03AM] Kursed used command ::balloon | Player rights = PLAYER	
[10/10/25 12:03AM] Kursed used command ::dropparty | Player rights = PLAYER	
[10/10/25 01:29AM] Kursed used command ::hellraiser | Player rights = PLAYER	
[10/10/25 08:39AM] Kursed used command ::voted | Player rights = PLAYER	
[10/10/25 09:09AM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:09AM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:09AM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:33AM] Kursed used command ::nephilim | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:40AM] Kursed used command ::vboss | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:42AM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:50AM] Kursed used command ::hellraiser | Player rights = SAPPHIRE_DONATOR	
[10/10/25 10:10AM] Kursed used command ::nm | Player rights = SAPPHIRE_DONATOR	
[10/10/25 10:28AM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:06PM] Kursed used command ::hellraiser | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:12PM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:12PM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:12PM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:12PM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:12PM] Kursed used command ::dissolveall | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:19PM] Kursed used command ::startertasks | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:20PM] Kursed used command ::perks | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:25PM] Kursed used command ::startertasks | Player rights = SAPPHIRE_DONATOR	
[10/10/25 02:35PM] Kursed used command ::startertasks | Player rights = SAPPHIRE_DONATOR	
[10/10/25 03:09PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:09PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:11PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:12PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:13PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:13PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:13PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:15PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:15PM] Kursed used command ::startertasks | Player rights = RUBY_DONATOR	
[10/10/25 03:16PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 03:17PM] Kursed used command ::startertasks | Player rights = RUBY_DONATOR	
[10/10/25 03:18PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 04:06PM] Kursed used command ::hellraiser | Player rights = RUBY_DONATOR	
[10/10/25 04:08PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 05:29PM] Kursed used command ::bank | Player rights = RUBY_DONATOR	
[10/10/25 06:58PM] Kursed used command ::naraku | Player rights = RUBY_DONATOR	
[10/10/25 07:11PM] Kursed used command ::vboss | Player rights = RUBY_DONATOR	
