[10/10/25 09:40AM] Loki used command ::vboss | Player rights = PLAYER	
[10/10/25 09:45AM] Loki used command ::vb | Player rights = PLAYER	
[10/10/25 09:45AM] Loki used command ::vb | Player rights = PLAYER	
[10/10/25 09:45AM] Loki used command ::voteboss | Player rights = PLAYER	
[10/10/25 09:55AM] Loki used command ::home | Player rights = SAPPHIRE_DONATOR	
[10/10/25 09:59AM] Loki used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 10:00AM] Loki used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/10/25 10:04AM] Loki used command ::nm | Player rights = EMERALD_DONATOR	
[10/10/25 10:33AM] Loki used command ::home | Player rights = EMERALD_DONATOR	
[10/10/25 10:55AM] Loki used command ::naraku | Player rights = EMERALD_DONATOR	
[10/10/25 10:56AM] Loki used command ::dk | Player rights = EMERALD_DONATOR	
[10/10/25 10:58AM] Loki used command ::dk | Player rights = EMERALD_DONATOR	
[10/10/25 11:19AM] Loki used command :::naraku | Player rights = EMERALD_DONATOR	
[10/10/25 11:21AM] Loki used command ::naraku | Player rights = EMERALD_DONATOR	
[10/10/25 11:31AM] Loki used command ::dz | Player rights = EMERALD_DONATOR	
[10/10/25 11:31AM] Loki used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/10/25 11:58AM] Loki used command ::platinum | Player rights = EMERALD_DONATOR	
[10/10/25 11:58AM] Loki used command ::platinum | Player rights = EMERALD_DONATOR	
[10/10/25 12:02PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 12:03PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 12:03PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 12:04PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 12:05PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 12:06PM] Loki used command ::ruby | Player rights = EMERALD_DONATOR	
[10/10/25 12:06PM] Loki used command ::emerald | Player rights = EMERALD_DONATOR	
[10/10/25 02:36PM] Loki used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/10/25 03:58PM] Loki used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 05:16PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 05:17PM] Loki used command ::emerald | Player rights = EMERALD_DONATOR	
[10/10/25 06:07PM] Loki used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/10/25 06:08PM] Loki used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/10/25 06:12PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 06:20PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 06:20PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 07:54PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/10/25 08:06PM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
[10/10/25 08:06PM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 06:55AM] Loki used command ::bank | Player rights = EMERALD_DONATOR	
[10/11/25 06:56AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 07:35AM] Loki used command ::chests | Player rights = EMERALD_DONATOR	
[10/11/25 07:50AM] Loki used command ::daily | Player rights = EMERALD_DONATOR	
[10/11/25 07:58AM] Loki used command ::dk | Player rights = EMERALD_DONATOR	
[10/11/25 08:26AM] Loki used command ::naraku | Player rights = EMERALD_DONATOR	
[10/11/25 08:52AM] Loki used command ::vboss | Player rights = EMERALD_DONATOR	
[10/11/25 08:59AM] Loki used command ::vboss | Player rights = EMERALD_DONATOR	
[10/11/25 09:02AM] Loki used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/11/25 09:15AM] Loki used command ::home | Player rights = EMERALD_DONATOR	
[10/11/25 09:23AM] Loki used command ::slayerboss | Player rights = EMERALD_DONATOR	
[10/11/25 09:35AM] Loki used command ::vote | Player rights = EMERALD_DONATOR	
[10/11/25 09:36AM] Loki used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/11/25 09:38AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:38AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:39AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:39AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:39AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:39AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:40AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:40AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:40AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:40AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:41AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:41AM] Loki used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/11/25 09:42AM] Loki used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/11/25 09:46AM] Loki used command ::afk | Player rights = EMERALD_DONATOR	
