[10/8/25 12:32PM] Mystima used command ::vote | Player rights = PLAYER	
[10/8/25 12:33PM] Mystima used command ::freedonator | Player rights = PLAYER	
[10/8/25 12:33PM] Mystima used command ::guides | Player rights = PLAYER	
[10/8/25 12:33PM] Mystima used command ::guide | Player rights = PLAYER	
[10/8/25 12:34PM] Mystima used command ::naraku | Player rights = PLAYER	
[10/8/25 12:36PM] Mystima used command ::train | Player rights = PLAYER	
[10/8/25 12:46PM] Mystima used command ::vote | Player rights = PLAYER	
[10/8/25 12:47PM] Mystima used command ::claim | Player rights = PLAYER	
[10/8/25 12:47PM] Mystima used command ::reward 1 | Player rights = PLAYER	
[10/8/25 12:50PM] Mystima used command ::home | Player rights = PLAYER	
[10/8/25 12:52PM] Mystima used command ::bank | Player rights = PLAYER	
[10/8/25 12:54PM] Mystima used command ::home | Player rights = PLAYER	
[10/8/25 12:55PM] Mystima used command ::train | Player rights = PLAYER	
[10/8/25 01:04PM] Mystima used command ::zones | Player rights = PLAYER	
[10/8/25 01:08PM] Mystima used command ::referral | Player rights = PLAYER	
[10/8/25 01:22PM] Mystima used command ::home | Player rights = PLAYER	
[10/9/25 09:11AM] Mystima used command ::vote | Player rights = PLAYER	
[10/9/25 09:13AM] Mystima used command ::train | Player rights = PLAYER	
[10/9/25 09:18AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:18AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:18AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:18AM] Mystima used command ::home | Player rights = EMERALD_DONATOR	
[10/9/25 09:21AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::home | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:24AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:25AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:25AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:25AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:26AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:27AM] Mystima used command ::event | Player rights = EMERALD_DONATOR	
[10/9/25 09:27AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:27AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:28AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:28AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:34AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:35AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:36AM] Mystima used command ::bossevent | Player rights = EMERALD_DONATOR	
[10/9/25 09:40AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:41AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:44AM] Mystima used command ::home | Player rights = EMERALD_DONATOR	
[10/9/25 09:45AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:46AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:47AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:48AM] Mystima used command ::answer chaos altar | Player rights = EMERALD_DONATOR	
[10/9/25 09:49AM] Mystima used command ::zones | Player rights = EMERALD_DONATOR	
[10/9/25 09:50AM] Mystima used command ::home | Player rights = EMERALD_DONATOR	
[10/9/25 09:50AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 09:51AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 10:05AM] Mystima used command ::afk | Player rights = EMERALD_DONATOR	
[10/9/25 10:05AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
[10/9/25 10:09AM] Mystima used command ::NERPHILIM | Player rights = EMERALD_DONATOR	
[10/9/25 10:09AM] Mystima used command ::nephilim | Player rights = EMERALD_DONATOR	
[10/9/25 10:09AM] Mystima used command ::home | Player rights = EMERALD_DONATOR	
[10/9/25 10:09AM] Mystima used command ::bank | Player rights = EMERALD_DONATOR	
