[10/13/25 05:47AM] N E A used command ::bank | Player rights = PLAYER	
[10/13/25 05:47AM] N E A used command ::ref | Player rights = PLAYER	
[10/13/25 05:49AM] N E A used command ::ref | Player rights = PLAYER	
[10/13/25 05:50AM] N E A used command ::train | Player rights = PLAYER	
[10/13/25 05:52AM] N E A used command ::platinum | Player rights = PLAYER	
[10/13/25 05:52AM] N E A used command ::platinum | Player rights = PLAYER	
[10/13/25 05:53AM] N E A used command ::Startertasks | Player rights = PLAYER	
[10/13/25 05:54AM] N E A used command ::vote | Player rights = PLAYER	
[10/13/25 05:55AM] N E A used command ::dissolveall | Player rights = PLAYER	
[10/13/25 05:55AM] N E A used command ::dissolveall | Player rights = PLAYER	
[10/13/25 05:56AM] N E A used command ::claimvotes | Player rights = PLAYER	
[10/13/25 05:56AM] N E A used command ::voted | Player rights = PLAYER	
[10/13/25 05:56AM] N E A used command ::claim | Player rights = PLAYER	
[10/13/25 05:57AM] N E A used command ::Voted | Player rights = PLAYER	
[10/13/25 05:57AM] N E A used command ::train | Player rights = PLAYER	
[10/13/25 06:00AM] N E A used command ::train | Player rights = PLAYER	
