[10/13/25 06:46PM] Nickw used command ::ref | Player rights = PLAYER	
[10/13/25 06:49PM] Nickw used command ::nephlim | Player rights = PLAYER	
[10/13/25 06:49PM] Nickw used command ::nephlim | Player rights = PLAYER	
[10/13/25 06:51PM] Nickw used command ::bank | Player rights = PLAYER	
[10/13/25 06:53PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 06:56PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 07:04PM] Nickw used command ::commands | Player rights = PLAYER	
[10/13/25 07:05PM] Nickw used command ::starter | Player rights = PLAYER	
[10/13/25 07:05PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/13/25 07:07PM] Nickw used command ::daily | Player rights = PLAYER	
[10/13/25 07:08PM] Nickw used command ::bank | Player rights = PLAYER	
[10/13/25 07:11PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 07:11PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 07:13PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 07:13PM] Nickw used command ::vboss | Player rights = PLAYER	
[10/13/25 07:13PM] Nickw used command ::slayerboss | Player rights = PLAYER	
[10/13/25 07:15PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/13/25 07:32PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/13/25 07:37PM] Nickw used command ::starter | Player rights = PLAYER	
[10/13/25 07:37PM] Nickw used command ::bank | Player rights = PLAYER	
[10/13/25 07:39PM] Nickw used command ::startertasjs | Player rights = PLAYER	
[10/13/25 07:39PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/14/25 05:46AM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/14/25 06:59PM] Nickw used command ::vote | Player rights = PLAYER	
[10/14/25 07:00PM] Nickw used command ::voted | Player rights = PLAYER	
[10/14/25 07:00PM] Nickw used command ::claimvote | Player rights = PLAYER	
[10/14/25 07:00PM] Nickw used command ::reward1 | Player rights = PLAYER	
[10/14/25 07:00PM] Nickw used command ::reward 1 all | Player rights = PLAYER	
[10/14/25 07:01PM] Nickw used command ::claim | Player rights = PLAYER	
[10/14/25 07:01PM] Nickw used command ::reward 1 | Player rights = PLAYER	
[10/14/25 07:03PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/14/25 07:03PM] Nickw used command ::perks | Player rights = PLAYER	
[10/14/25 07:04PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/14/25 07:13PM] Nickw used command ::startertasks | Player rights = PLAYER	
[10/14/25 07:14PM] Nickw used command ::bank | Player rights = PLAYER	
