[10/18/25 08:03PM] O used command ::train | Player rights = PLAYER	
[10/18/25 08:08PM] O used command ::gome | Player rights = RUBY_DONATOR	
[10/18/25 08:08PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:10PM] O used command ::train | Player rights = RUBY_DONATOR	
[10/18/25 08:15PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:17PM] O used command ::train | Player rights = RUBY_DONATOR	
[10/18/25 08:20PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:21PM] O used command ::trian | Player rights = RUBY_DONATOR	
[10/18/25 08:21PM] O used command ::train | Player rights = RUBY_DONATOR	
[10/18/25 08:28PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::vote | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::vote | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::clien | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::system.out.println("Hello, world"_); | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::inter 500 | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::;;gome | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:29PM] O used command ::shops | Player rights = RUBY_DONATOR	
[10/18/25 08:33PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:33PM] O used command ::afk | Player rights = RUBY_DONATOR	
[10/18/25 08:34PM] O used command ::home | Player rights = RUBY_DONATOR	
[10/18/25 08:46PM] O used command ::bosses | Player rights = RUBY_DONATOR	
[10/18/25 08:46PM] O used command ::Boss | Player rights = RUBY_DONATOR	
[10/18/25 09:14PM] O used command ::yell | Player rights = RUBY_DONATOR	
[10/18/25 09:24PM] O used command ::home | Player rights = RUBY_DONATOR	
