[10/7/25 10:21AM] Run used command ::hoem | Player rights = PLAYER	
[10/7/25 10:21AM] Run used command ::home | Player rights = PLAYER	
[10/7/25 10:23AM] Run used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 10:24AM] Run used command ::ref | Player rights = EMERALD_DONATOR	
[10/7/25 10:25AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:26AM] Run used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 10:28AM] Run used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 10:33AM] Run used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 10:38AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:39AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:39AM] Run used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 10:41AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:41AM] Run used command ::rewrads | Player rights = EMERALD_DONATOR	
[10/7/25 10:41AM] Run used command ::boxes | Player rights = EMERALD_DONATOR	
[10/7/25 10:41AM] Run used command ::loot | Player rights = EMERALD_DONATOR	
[10/7/25 10:42AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:42AM] Run used command ::shops | Player rights = EMERALD_DONATOR	
[10/7/25 10:42AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:43AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 10:43AM] Run used command ::ref me | Player rights = EMERALD_DONATOR	
[10/7/25 10:43AM] Run used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 10:44AM] Run used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 10:53AM] Run used command ::streaj | Player rights = EMERALD_DONATOR	
[10/7/25 10:53AM] Run used command ::streaks | Player rights = EMERALD_DONATOR	
[10/7/25 10:54AM] Run used command ::Streak | Player rights = EMERALD_DONATOR	
[10/7/25 10:54AM] Run used command ::streak | Player rights = EMERALD_DONATOR	
[10/7/25 10:54AM] Run used command ::streaks | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Run used command ::whatdrops | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Run used command ::drops | Player rights = EMERALD_DONATOR	
[10/7/25 10:55AM] Run used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 10:56AM] Run used command ::answer 9 | Player rights = EMERALD_DONATOR	
[10/7/25 10:59AM] Run used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:00AM] Run used command ::train | Player rights = EMERALD_DONATOR	
