[10/5/25 07:17AM] Spoon used command ::pos | Player rights = PLAYER	
[10/5/25 07:23AM] Spoon used command ::vote | Player rights = PLAYER	
[10/5/25 07:24AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 07:29AM] Spoon used command ::home | Player rights = PLAYER	
[10/5/25 07:31AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 07:38AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 07:44AM] Spoon used command ::daily | Player rights = PLAYER	
[10/5/25 07:45AM] Spoon used command ::daily | Player rights = PLAYER	
[10/5/25 07:49AM] Spoon used command ::daily | Player rights = PLAYER	
[10/5/25 07:53AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 07:59AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 08:04AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 08:07AM] Spoon used command ::nm | Player rights = PLAYER	
[10/5/25 08:12AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 08:16AM] Spoon used command ::shops | Player rights = PLAYER	
[10/5/25 08:20AM] Spoon used command ::bank | Player rights = PLAYER	
[10/5/25 08:22AM] Spoon used command ::train | Player rights = PLAYER	
[10/5/25 08:29AM] Spoon used command ::afk | Player rights = PLAYER	
[10/5/25 08:31AM] Spoon used command ::shops | Player rights = PLAYER	
[10/5/25 08:32AM] Spoon used command ::afk | Player rights = PLAYER	
[10/5/25 03:17PM] Spoon used command ::vote | Player rights = PLAYER	
[10/6/25 05:45PM] Spoon used command ::vote | Player rights = PLAYER	
[10/6/25 05:46PM] Spoon used command ::voted | Player rights = PLAYER	
[10/6/25 05:47PM] Spoon used command ::daily | Player rights = PLAYER	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 06:05PM] Spoon used command ::bank | Player rights = SAPPHIRE_DONATOR	
