[10/7/25 11:51AM] Thecyb used command ::ref | Player rights = PLAYER	
[10/7/25 11:53AM] Thecyb used command ::Vote | Player rights = PLAYER	
[10/7/25 11:54AM] Thecyb used command ::voted | Player rights = PLAYER	
[10/7/25 11:55AM] Thecyb used command ::Vote | Player rights = PLAYER	
[10/7/25 11:55AM] Thecyb used command ::train | Player rights = PLAYER	
[10/7/25 11:59AM] Thecyb used command ::Claim | Player rights = PLAYER	
[10/7/25 12:08PM] Thecyb used command ::bank | Player rights = PLAYER	
[10/7/25 12:11PM] Thecyb used command ::Train | Player rights = PLAYER	
[10/7/25 12:13PM] Thecyb used command ::Tran | Player rights = PLAYER	
[10/7/25 12:13PM] Thecyb used command ::Train | Player rights = PLAYER	
[10/7/25 12:26PM] Thecyb used command ::naraku | Player rights = PLAYER	
[10/7/25 12:29PM] Thecyb used command ::naraku | Player rights = PLAYER	
[10/7/25 12:35PM] Thecyb used command ::train | Player rights = PLAYER	
[10/7/25 12:37PM] Thecyb used command ::answer varroc | Player rights = PLAYER	
[10/7/25 12:39PM] Thecyb used command ::train | Player rights = PLAYER	
[10/7/25 12:47PM] Thecyb used command ::Train | Player rights = PLAYER	
[10/7/25 12:57PM] Thecyb used command ::answer mars | Player rights = EMERALD_DONATOR	
[10/7/25 12:59PM] Thecyb used command ::Droprate | Player rights = EMERALD_DONATOR	
[10/7/25 12:59PM] Thecyb used command ::ironman | Player rights = EMERALD_DONATOR	
[10/7/25 01:03PM] Thecyb used command ::Train | Player rights = EMERALD_DONATOR	
[10/7/25 01:05PM] Thecyb used command ::Commands | Player rights = EMERALD_DONATOR	
[10/7/25 01:07PM] Thecyb used command ::Vboss | Player rights = EMERALD_DONATOR	
[10/7/25 01:14PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/7/25 01:15PM] Thecyb used command ::commands | Player rights = EMERALD_DONATOR	
[10/7/25 01:15PM] Thecyb used command ::collectionlog | Player rights = EMERALD_DONATOR	
[10/7/25 01:15PM] Thecyb used command ::Commands | Player rights = EMERALD_DONATOR	
[10/7/25 01:15PM] Thecyb used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/7/25 01:16PM] Thecyb used command ::Dr | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] Thecyb used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] Thecyb used command ::home | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] Thecyb used command ::ironman | Player rights = EMERALD_DONATOR	
[10/7/25 01:20PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:21PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:24PM] Thecyb used command ::Dz | Player rights = EMERALD_DONATOR	
[10/7/25 01:24PM] Thecyb used command ::dz | Player rights = EMERALD_DONATOR	
[10/7/25 01:24PM] Thecyb used command ::donorzone | Player rights = EMERALD_DONATOR	
[10/7/25 01:24PM] Thecyb used command ::Dzone | Player rights = EMERALD_DONATOR	
[10/7/25 01:24PM] Thecyb used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 01:25PM] Thecyb used command ::onyx | Player rights = EMERALD_DONATOR	
[10/7/25 01:26PM] Thecyb used command ::platinum | Player rights = EMERALD_DONATOR	
[10/7/25 01:26PM] Thecyb used command ::Dk | Player rights = EMERALD_DONATOR	
[10/7/25 01:32PM] Thecyb used command ::train | Player rights = EMERALD_DONATOR	
[10/7/25 01:34PM] Thecyb used command ::commands | Player rights = EMERALD_DONATOR	
[10/7/25 01:35PM] Thecyb used command ::ezone | Player rights = EMERALD_DONATOR	
[10/7/25 01:35PM] Thecyb used command ::emerald | Player rights = EMERALD_DONATOR	
[10/7/25 01:36PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:37PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Thecyb used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 01:38PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:41PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:44PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:44PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:44PM] Thecyb used command ::/ gn | Player rights = EMERALD_DONATOR	
[10/7/25 01:45PM] Thecyb used command ::Duel | Player rights = EMERALD_DONATOR	
[10/7/25 01:47PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:47PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:49PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/7/25 01:49PM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/7/25 01:54PM] Thecyb used command ::prestige | Player rights = EMERALD_DONATOR	
[10/7/25 02:01PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:03PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:10PM] Thecyb used command ::Dailylogin | Player rights = EMERALD_DONATOR	
[10/7/25 02:11PM] Thecyb used command ::Starter | Player rights = EMERALD_DONATOR	
[10/7/25 02:12PM] Thecyb used command ::daily | Player rights = EMERALD_DONATOR	
[10/7/25 02:14PM] Thecyb used command ::zones | Player rights = EMERALD_DONATOR	
[10/7/25 02:14PM] Thecyb used command ::zones | Player rights = EMERALD_DONATOR	
[10/7/25 02:18PM] Thecyb used command ::Answer 1 | Player rights = EMERALD_DONATOR	
[10/7/25 02:19PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Thecyb used command ::Afk | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Thecyb used command ::Shops | Player rights = EMERALD_DONATOR	
[10/7/25 02:22PM] Thecyb used command ::Afk | Player rights = EMERALD_DONATOR	
[10/7/25 08:56PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:58PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:59PM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 09:04PM] Thecyb used command ::Slayerboss | Player rights = EMERALD_DONATOR	
[10/8/25 07:11AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 10:36AM] Thecyb used command ::Daily | Player rights = EMERALD_DONATOR	
[10/8/25 10:36AM] Thecyb used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 10:36AM] Thecyb used command ::vote | Player rights = EMERALD_DONATOR	
[10/8/25 10:42AM] Thecyb used command ::DAily | Player rights = EMERALD_DONATOR	
[10/8/25 10:42AM] Thecyb used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 10:43AM] Thecyb used command ::voted | Player rights = EMERALD_DONATOR	
[10/8/25 10:43AM] Thecyb used command ::claimvote | Player rights = EMERALD_DONATOR	
[10/8/25 10:43AM] Thecyb used command ::reward  | Player rights = EMERALD_DONATOR	
[10/8/25 10:43AM] Thecyb used command ::Reward 1 all | Player rights = EMERALD_DONATOR	
[10/8/25 10:44AM] Thecyb used command ::Answer uranus | Player rights = EMERALD_DONATOR	
[10/8/25 10:44AM] Thecyb used command ::Answer jupiter | Player rights = EMERALD_DONATOR	
[10/8/25 10:44AM] Thecyb used command ::answer uranus | Player rights = EMERALD_DONATOR	
[10/8/25 10:45AM] Thecyb used command ::answer mars | Player rights = EMERALD_DONATOR	
