[10/7/25 09:47PM] Tin used command ::starter | Player rights = PLAYER	
[10/7/25 09:48PM] Tin used command ::::daily | Player rights = PLAYER	
[10/7/25 09:50PM] Tin used command ::vote | Player rights = PLAYER	
[10/7/25 09:50PM] Tin used command ::voted | Player rights = PLAYER	
[10/7/25 09:50PM] Tin used command ::voted | Player rights = PLAYER	
[10/7/25 09:51PM] Tin used command ::rewards 1 | Player rights = PLAYER	
[10/7/25 09:52PM] Tin used command ::claimo | Player rights = PLAYER	
[10/7/25 09:52PM] Tin used command ::claim | Player rights = PLAYER	
[10/7/25 09:53PM] Tin used command ::claimvotes | Player rights = PLAYER	
[10/7/25 09:53PM] Tin used command ::voted | Player rights = PLAYER	
[10/7/25 10:02PM] Tin used command ::ref | Player rights = PLAYER	
[10/7/25 10:02PM] Tin used command ::ref | Player rights = PLAYER	
[10/7/25 10:08PM] Tin used command ::chests | Player rights = PLAYER	
[10/8/25 12:32AM] Tin used command ::hellraiser | Player rights = PLAYER	
[10/8/25 01:26AM] Tin used command ::platinum | Player rights = PLAYER	
[10/8/25 02:04AM] Tin used command ::dk | Player rights = PLAYER	
[10/8/25 02:04AM] Tin used command ::dk | Player rights = PLAYER	
[10/8/25 02:16AM] Tin used command ::master | Player rights = PLAYER	
[10/8/25 10:20PM] Tin used command ::claim | Player rights = PLAYER	
[10/8/25 10:20PM] Tin used command ::claimvotes | Player rights = PLAYER	
[10/8/25 10:20PM] Tin used command ::voted | Player rights = PLAYER	
[10/10/25 09:42PM] Tin used command ::bank | Player rights = PLAYER	
[10/10/25 10:07PM] Tin used command ::upgrade | Player rights = PLAYER	
[10/11/25 12:51AM] Tin used command ::upgrade | Player rights = PLAYER	
[10/11/25 11:50PM] Tin used command ::vote | Player rights = PLAYER	
[10/11/25 11:52PM] Tin used command ::voted | Player rights = PLAYER	
[10/11/25 11:52PM] Tin used command ::global | Player rights = PLAYER	
[10/11/25 11:52PM] Tin used command ::globalboss | Player rights = PLAYER	
[10/11/25 11:52PM] Tin used command ::dk | Player rights = PLAYER	
[10/11/25 11:52PM] Tin used command ::dk | Player rights = PLAYER	
[10/11/25 11:57PM] Tin used command ::startertasks | Player rights = PLAYER	
[10/11/25 11:57PM] Tin used command ::voted | Player rights = PLAYER	
[10/11/25 11:57PM] Tin used command ::claimvotes | Player rights = PLAYER	
[10/11/25 11:57PM] Tin used command ::starter | Player rights = PLAYER	
[10/12/25 12:03AM] Tin used command ::upgrade | Player rights = PLAYER	
[10/12/25 12:04AM] Tin used command ::startertasks | Player rights = PLAYER	
[10/12/25 12:05AM] Tin used command ::bank | Player rights = PLAYER	
