[10/6/25 07:34PM] Vibes used command ::beta | Player rights = PLAYER	
[10/6/25 07:34PM] Vibes used command ::new | Player rights = PLAYER	
[10/6/25 07:34PM] Vibes used command ::commands | Player rights = PLAYER	
[10/6/25 07:34PM] Vibes used command ::players | Player rights = PLAYER	
[10/6/25 07:35PM] Vibes used command ::yell is there any starter weapons? | Player rights = PLAYER	
[10/6/25 07:35PM] Vibes used command ::players | Player rights = PLAYER	
[10/6/25 07:36PM] Vibes used command ::account | Player rights = PLAYER	
[10/6/25 07:36PM] Vibes used command ::new | Player rights = PLAYER	
[10/6/25 07:37PM] Vibes used command ::guids | Player rights = PLAYER	
[10/6/25 07:37PM] Vibes used command ::vote | Player rights = PLAYER	
[10/6/25 07:38PM] Vibes used command ::beta | Player rights = PLAYER	
[10/6/25 07:38PM] Vibes used command ::boxes | Player rights = PLAYER	
[10/6/25 07:38PM] Vibes used command ::freedonator | Player rights = PLAYER	
[10/6/25 07:38PM] Vibes used command ::collectors | Player rights = PLAYER	
[10/6/25 07:38PM] Vibes used command ::ref | Player rights = PLAYER	
[10/6/25 07:39PM] Vibes used command ::bank | Player rights = PLAYER	
[10/6/25 07:40PM] Vibes used command ::voted | Player rights = PLAYER	
[10/6/25 07:41PM] Vibes used command ::bank | Player rights = PLAYER	
[10/6/25 07:41PM] Vibes used command ::upgrade | Player rights = PLAYER	
[10/6/25 07:41PM] Vibes used command ::upgrade | Player rights = PLAYER	
[10/6/25 07:44PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:45PM] Vibes used command ::dissolveall | Player rights = EMERALD_DONATOR	
[10/6/25 07:45PM] Vibes used command ::prog | Player rights = EMERALD_DONATOR	
[10/6/25 07:45PM] Vibes used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 07:47PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:47PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:48PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:49PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:50PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:50PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:53PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 07:56PM] Vibes used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 08:03PM] Vibes used command ::home | Player rights = EMERALD_DONATOR	
[10/6/25 08:04PM] Vibes used command ::upgrade | Player rights = EMERALD_DONATOR	
[10/6/25 08:04PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:04PM] Vibes used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 08:05PM] Vibes used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:08PM] Vibes used command ::train | Player rights = RUBY_DONATOR	
[10/6/25 08:09PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:10PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:10PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:11PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:11PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:11PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:12PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:18PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:19PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::bank | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::dissolveall | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
[10/6/25 08:20PM] Vibes used command ::upgrade | Player rights = RUBY_DONATOR	
