[10/6/25 07:43PM] You used command ::vote | Player rights = PLAYER	
[10/6/25 07:44PM] You used command ::claim | Player rights = PLAYER	
[10/6/25 07:44PM] You used command ::voted | Player rights = PLAYER	
[10/6/25 07:47PM] You used command ::train | Player rights = PLAYER	
[10/6/25 07:49PM] You used command ::train | Player rights = PLAYER	
[10/6/25 08:07PM] You used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:07PM] You used command ::bank | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:08PM] You used command ::answer weekends | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:08PM] You used command ::answer friday | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:08PM] You used command ::answer sunday | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:08PM] You used command ::answer thursday | Player rights = SAPPHIRE_DONATOR	
[10/6/25 08:10PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:10PM] You used command ::train | Player rights = EMERALD_DONATOR	
[10/6/25 08:11PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:12PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:12PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:28PM] You used command ::AFK | Player rights = EMERALD_DONATOR	
[10/6/25 08:29PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/6/25 08:29PM] You used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 11:04AM] You used command ::voted | Player rights = EMERALD_DONATOR	
[10/7/25 11:04AM] You used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 11:04AM] You used command ::voted | Player rights = EMERALD_DONATOR	
[10/7/25 11:04AM] You used command ::Redeem | Player rights = EMERALD_DONATOR	
[10/7/25 11:05AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:05AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:07AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:08AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:08AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:09AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:12AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:16AM] You used command ::answer bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:18AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:25AM] You used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 11:34AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:35AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:36AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:46AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 11:52AM] You used command ::claim | Player rights = EMERALD_DONATOR	
[10/7/25 11:52AM] You used command ::redeem | Player rights = EMERALD_DONATOR	
[10/7/25 11:53AM] You used command ::auth | Player rights = EMERALD_DONATOR	
[10/7/25 11:53AM] You used command ::voted | Player rights = EMERALD_DONATOR	
[10/7/25 11:57AM] You used command ::answer vote | Player rights = EMERALD_DONATOR	
[10/7/25 12:01PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:02PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:02PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:04PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:04PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:13PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:13PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:21PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:22PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:27PM] You used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 12:29PM] You used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 12:50PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:54PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:56PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:56PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:57PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:57PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 12:58PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:07PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:07PM] You used command ::vboss | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:17PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:18PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:18PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:19PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:20PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:20PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 01:20PM] You used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 01:21PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 07:44PM] You used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 07:44PM] You used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 07:44PM] You used command ::dk | Player rights = EMERALD_DONATOR	
[10/7/25 07:44PM] You used command ::::ref | Player rights = EMERALD_DONATOR	
[10/7/25 07:44PM] You used command ::REf | Player rights = EMERALD_DONATOR	
[10/7/25 07:58PM] You used command ::vote | Player rights = EMERALD_DONATOR	
[10/7/25 08:00PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:01PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:01PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:02PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:03PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:04PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:07PM] You used command ::answerlisten | Player rights = EMERALD_DONATOR	
[10/7/25 08:23PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:23PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:24PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:24PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:24PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:25PM] You used command ::hellraiser | Player rights = EMERALD_DONATOR	
[10/7/25 08:35PM] You used command ::naraku | Player rights = EMERALD_DONATOR	
[10/7/25 08:36PM] You used command ::afk | Player rights = EMERALD_DONATOR	
[10/7/25 08:36PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/7/25 08:36PM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 07:28AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 07:28AM] You used command ::bank | Player rights = EMERALD_DONATOR	
[10/8/25 07:29AM] You used command ::daily | Player rights = RUBY_DONATOR	
[10/8/25 07:30AM] You used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 07:30AM] You used command ::vote | Player rights = RUBY_DONATOR	
[10/8/25 07:37AM] You used command ::daily | Player rights = RUBY_DONATOR	
[10/8/25 07:47AM] You used command ::shops | Player rights = RUBY_DONATOR	
[10/8/25 07:48AM] You used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 07:48AM] You used command ::afk | Player rights = RUBY_DONATOR	
[10/8/25 07:48AM] You used command ::bank | Player rights = RUBY_DONATOR	
[10/8/25 07:57AM] You used command ::dz | Player rights = DIAMOND_DONATOR	
[10/8/25 07:57AM] You used command ::commands | Player rights = DIAMOND_DONATOR	
[10/8/25 08:07AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:39AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:40AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:41AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:41AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:42AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:43AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:43AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:44AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:44AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:45AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:47AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:47AM] You used command ::hellraiser | Player rights = DIAMOND_DONATOR	
[10/8/25 08:48AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 08:50AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:02AM] You used command ::voted | Player rights = DIAMOND_DONATOR	
[10/8/25 09:08AM] You used command ::vozzath | Player rights = DIAMOND_DONATOR	
[10/8/25 09:09AM] You used command ::bank | Player rights = DIAMOND_DONATOR	
[10/8/25 09:10AM] You used command ::eventboss | Player rights = DIAMOND_DONATOR	
[10/8/25 09:10AM] You used command ::eventboss | Player rights = DIAMOND_DONATOR	
