[10/7/25 09:14PM] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Vote Boss	
[10/7/25 09:19PM] Player received drop: x1 Chance scroll, id: 22166, amount: 1, from: Nephilim Warrior	
[10/8/25 12:07AM] Player received drop: x1 Angels Flamethrower, id: 17712, amount: 1, from: Legendary Wyvern	
[10/8/25 12:07AM] Player received drop: x1 Sorrow body, id: 8804, amount: 1, from: Legendary Wyvern	
[10/8/25 08:53PM] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Nephilim Warrior	
[10/8/25 09:09PM] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/9/25 12:59AM] Player received drop: x1 Ganopurp staff, id: 8809, amount: 1, from: Oni	
[10/10/25 02:42AM] Player received drop: x1 Shikruu platebody, id: 8801, amount: 1, from: Super Shenron	
[10/17/25 04:23PM] Player received drop: x1 PvM ticket pack (10k), id: 22219, amount: 1, from: Energy Skeleton	
[10/17/25 08:53PM] Player received drop: x1 Sorrow bow, id: 20173, amount: 1, from: Sub-Zero	
[10/18/25 02:37PM] Player received drop: x1 Sorrow horn-coif, id: 8803, amount: 1, from: Sub-Zero	
[10/18/25 03:35PM] Player received drop: x1 Upgrade Token pack (25k), id: 15289, amount: 1, from: Sub-Zero	
[10/18/25 09:27PM] Player received drop: x1 PvM ticket pack (10k), id: 22219, amount: 1, from: Demon Goddess	
