[10/7/25 07:31PM] Login. ip: 95.173.221.117, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 8834, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 20549, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 20549, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 15830, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 8860, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 15418, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 15290, amount: 5	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 15830, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 13740, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 22214, amount: 81	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 19116, amount: 4	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 12855, amount: 2672968	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 19888, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 18881, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 6585, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 6585, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 15418, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 989, amount: 11	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 8335, amount: 1	
[10/7/25 07:38PM]  Receiving item from trade with Vibes Id: 8412, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 3752, amount: 20	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 17194, amount: 16	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 17340, amount: 15	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 11236, amount: 15	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8802, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8802, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 11859, amount: 7	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 12535, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 10351, amount: 18	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 19582, amount: 10	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8802, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8802, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8334, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8800, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8835, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8326, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8328, amount: 1	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 1216, amount: 5	
[10/7/25 07:39PM]  Receiving item from trade with Vibes Id: 8835, amount: 1	
[10/7/25 08:01PM] SLAYERMULTI|1911,5231,0|Said: Hi	
[10/7/25 08:06PM] (CC) Help. Said:  playing xbox 	
[10/8/25 04:01AM] Login. ip: 95.173.221.117, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/8/25 04:54AM] Login. ip: 95.173.221.117, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/8/25 08:19PM] Login. ip: 162.251.172.10, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/8/25 08:19PM] Login. ip: 162.251.172.10, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/8/25 08:19PM] SOD_LOBBY|3753,9370,0|Said: 74	
[10/8/25 08:25PM] Player destroying item: -1, amount: 0	
[10/8/25 08:26PM]  Receiving item from trade with Vibes Id: 5022, amount: 7000000	
[10/8/25 08:26PM]  Receiving item from trade with Vibes Id: 11137, amount: 2182	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 12535, amount: 1	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 8412, amount: 1	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 5022, amount: 3851650	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 11137, amount: 2182	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 4152, amount: 2100	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 12855, amount: 2792303	
[10/8/25 08:28PM]  Gave item in trade to Vibes. Id: 4278, amount: 2	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 18881, amount: 1	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 19116, amount: 10	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 6737, amount: 1	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 6737, amount: 1	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 12933, amount: 1	
[10/8/25 08:33PM]  Gave item in trade to Vibes. Id: 12933, amount: 1	
[10/8/25 09:06PM] Login. ip: 162.251.172.10, mac: JXKPR3320250221040754.000000-360, uuid: 00-FF-1D-B1-00-C1	
[10/8/25 09:06PM]  Receiving item from trade with Vibes Id: 21218, amount: 19	
[10/8/25 09:20PM]  Receiving item from trade with Vibes Id: 21218, amount: 290	
[10/8/25 09:22PM]  Gave item in trade to Vibes. Id: 23402, amount: 1	
[10/8/25 09:22PM]  Receiving item from trade with Vibes Id: 19114, amount: 15	
[10/8/25 09:22PM]  Receiving item from trade with Vibes Id: 6199, amount: 6	
