[10/6/25 05:04AM] Item: Sorrow body, ID: 8804, Amount: 1	
[10/6/25 05:04AM] Item: $25 Bond, ID: 10934, Amount: 1	
[10/6/25 05:04AM] Item: Elite Sword (aoe), ID: 8410, Amount: 1	
[10/6/25 05:04AM] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/10/25 12:48PM] Item: $1 Scroll, ID: 10946, Amount: 1	
[10/10/25 12:49PM] Item: $1 Scroll, ID: 10946, Amount: 1	
[10/10/25 12:59PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/10/25 12:59PM] Item: Owner Attachment, ID: 22110, Amount: 1	
[10/10/25 12:59PM] Item: Owner Jewelry goodiebag, ID: 23240, Amount: 8	
[10/10/25 12:59PM] Item: Owner Potion, ID: 23242, Amount: 1	
[10/10/25 12:59PM] Item: Celestial's Card Pack, ID: 23278, Amount: 1	
[10/10/25 12:59PM] Item: Celestial's Card Pack, ID: 23278, Amount: 1	
[10/10/25 12:59PM] Item: Avalon's Card Pack, ID: 23279, Amount: 1	
[10/10/25 12:59PM] Item: Quill's Card Pack, ID: 23277, Amount: 1	
[10/10/25 12:59PM] Item: Avalon's Card Pack, ID: 23279, Amount: 1	
[10/10/25 12:59PM] Item: Quill's Card Pack, ID: 23277, Amount: 1	
[10/10/25 12:59PM] Item: Prestige box, ID: 23236, Amount: 8	
[10/10/25 12:59PM] Item: Fortune Chest, ID: 23002, Amount: 5	
[10/10/25 12:59PM] Item: Blood Twisted bow, ID: 23226, Amount: 1	
[10/10/25 12:59PM] Item: Gold Season Pass, ID: 23275, Amount: 1	
[10/13/25 07:46PM] Item: Celestial's Card Pack, ID: 23278, Amount: 3	
[10/13/25 07:46PM] Item: Quill's Card Pack, ID: 23277, Amount: 3	
[10/13/25 07:46PM] Item: Owner cape, ID: 7995, Amount: 1	
[10/13/25 07:46PM] Item: Sanguinesti Legends staff, ID: 17011, Amount: 1	
[10/13/25 07:46PM] Item: Sanguinesti Legends staff, ID: 17011, Amount: 1	
[10/13/25 07:46PM] Item: Blood Scythe of Vitur, ID: 8136, Amount: 1	
[10/13/25 07:46PM] Item: Donator Aura, ID: 12630, Amount: 1	
[10/13/25 07:46PM] Item: Donator Aura, ID: 12630, Amount: 1	
[10/13/25 07:46PM] Item: Owner Jewelry goodiebag, ID: 23240, Amount: 5	
[10/13/25 07:46PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM] Item: Collector Ring III, ID: 18818, Amount: 1	
[10/13/25 07:46PM] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/13/25 07:46PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/13/25 07:46PM] Item: Collector Ring III, ID: 18818, Amount: 1	
[10/13/25 07:46PM] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/13/25 07:47PM] Item: Light Attachment, ID: 10949, Amount: 1	
[10/13/25 07:47PM] Item: OP Box, ID: 20488, Amount: 100	
[10/13/25 07:47PM] Item: Light Attachment, ID: 10949, Amount: 1	
