[10/7/25 01:35AM] Player picked up item: Starter bones, id: 23402, amount: 1, owner: Ezpz Ghijf	
[10/7/25 01:35AM] Player picked up item: PVM ticket, id: 5022, amount: 7, owner: Ezpz Ghijf	
[10/12/25 02:30AM] Player picked up item: Holy symbol, id: 4682, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: AFK ticket, id: 5020, amount: 10000, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Crystal key, id: 989, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Upgrade Token pack (5k), id: 15290, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Terror bones, id: 2023, amount: 3, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Global ticket, id: 23229, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Sapphire mystery box, id: 19116, amount: 2, owner: Ezpz Ghijf	
[10/12/25 04:28AM] Player picked up item: Summoning charm box, id: 20481, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:34AM] Player picked up item: Levincia tokens, id: 12855, amount: 5000, owner: Ezpz Ghijf	
[10/12/25 04:35AM] Player picked up item: Crystal key, id: 989, amount: 2, owner: Ezpz Ghijf	
[10/12/25 04:35AM] Player picked up item: Global ticket, id: 23229, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:35AM] Player picked up item: PVM ticket, id: 5022, amount: 1000, owner: Ezpz Ghijf	
[10/12/25 04:35AM] Player picked up item: Ruby Mystery Box, id: 19114, amount: 5, owner: Ezpz Ghijf	
[10/12/25 04:39AM] Player picked up item: PVM ticket, id: 5022, amount: 1000, owner: Ezpz Ghijf	
[10/12/25 04:39AM] Player picked up item: Global ticket, id: 23229, amount: 1, owner: Ezpz Ghijf	
[10/12/25 04:39AM] Player picked up item: Levincia tokens, id: 12855, amount: 5000, owner: Ezpz Ghijf	
[10/12/25 04:39AM] Player picked up item: Crystal key, id: 989, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:04AM] Player picked up item: AFK ticket, id: 5020, amount: 10000, owner: Ezpz Ghijf	
[10/13/25 08:04AM] Player picked up item: Terror bones, id: 2023, amount: 3, owner: Ezpz Ghijf	
[10/13/25 08:04AM] Player picked up item: Upgrade Token pack (5k), id: 15290, amount: 1, owner: Ezpz Ghijf	
[10/13/25 08:05AM] Player picked up item: Global ticket, id: 23229, amount: 1, owner: Ezpz Ghijf	
[10/13/25 08:05AM] Player picked up item: Crystal key, id: 989, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:05AM] Player picked up item: Sapphire mystery box, id: 19116, amount: 4, owner: Ezpz Ghijf	
[10/13/25 08:05AM] Player picked up item: Summoning charm box, id: 20481, amount: 1, owner: Ezpz Ghijf	
[10/13/25 08:07AM] Player picked up item: Levincia tokens, id: 12855, amount: 5000, owner: Ezpz Ghijf	
[10/13/25 08:07AM] Player picked up item: PVM ticket, id: 5022, amount: 1000, owner: Ezpz Ghijf	
[10/13/25 08:07AM] Player picked up item: Crystal key, id: 989, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:07AM] Player picked up item: Global ticket, id: 23229, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:18AM] Player picked up item: Upgrade Token pack (25k), id: 15289, amount: 1, owner: Ezpz Ghijf	
[10/13/25 08:18AM] Player picked up item: Levincia tokens, id: 12855, amount: 10518, owner: Ezpz Ghijf	
[10/13/25 08:18AM] Player picked up item: Global ticket, id: 23229, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:18AM] Player picked up item: Ruby Mystery Box, id: 19114, amount: 2, owner: Ezpz Ghijf	
[10/13/25 08:18AM] Player picked up item: Antique lamp, id: 11137, amount: 10, owner: Ezpz Ghijf	
[10/14/25 05:10AM] Player picked up item: Global ticket, id: 23229, amount: 1, owner: Ezpz Ghijf	
[10/14/25 05:10AM] Player picked up item: Levincia tokens, id: 12855, amount: 5000, owner: Ezpz Ghijf	
[10/14/25 05:10AM] Player picked up item: PVM ticket, id: 5022, amount: 1000, owner: Ezpz Ghijf	
[10/14/25 05:10AM] Player picked up item: Crystal key, id: 989, amount: 2, owner: Ezpz Ghijf	
