[10/7/25 01:00AM]  Gave item to Ghijf. Name: Levincia tokens. Id: 12855, amount: 803	
[10/7/25 01:00AM]  Gave item to Ghijf. Name: PVM ticket. Id: 5022, amount: 636	
[10/7/25 01:00AM]  Gave item to Ghijf. Name: AFK ticket. Id: 5020, amount: 492	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: AFK ticket. Id: 5020, amount: 262	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Shikruu platebody. Id: 8801, amount: 1	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: PVM ticket. Id: 5022, amount: 265	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Levincia tokens. Id: 12855, amount: 321	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Loot box. Id: 290, amount: 2	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Dragon pickaxe. Id: 15259, amount: 1	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Dragon med helm. Id: 1149, amount: 1	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Dragon mace. Id: 1434, amount: 1	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Dragon 2h sword. Id: 7158, amount: 1	
[10/7/25 01:17AM]  Gave item to Ghijf. Name: Ring of slaying (8). Id: 13281, amount: 1	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: AFK ticket. Id: 5020, amount: 187	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: Levincia tokens. Id: 12855, amount: 339	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: Vote scroll. Id: 23020, amount: 5	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: Supreme Casket. Id: 23253, amount: 2	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: PVM ticket. Id: 5022, amount: 1282	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: 1k token. Id: 8851, amount: 5	
[10/7/25 01:57PM]  Gave item to Ghijf. Name: Crystal key. Id: 989, amount: 2	
[10/7/25 06:11PM]  Gave item to Ghijf. Name: Golden Scratch Card. Id: 22121, amount: 1	
[10/7/25 06:11PM]  Gave item to Ghijf. Name: $5 Bond. Id: 6769, amount: 3	
[10/7/25 06:11PM]  Gave item to Ghijf. Name: Vote scroll. Id: 23020, amount: 5	
[10/7/25 06:11PM]  Gave item to Ghijf. Name: Dragon Rider lance. Id: 8087, amount: 1	
[10/8/25 01:21AM]  Gave item to Ghijf. Name: 1k token. Id: 8851, amount: 10275	
[10/8/25 01:21AM]  Received item from Ghijf. Name: Dragon Rider lance. Id: 8087, amount: 1	
[10/8/25 01:21AM]  Received item from Ghijf. Name: Melee helm (T5). Id: 8326, amount: 1	
[10/8/25 01:21AM]  Received item from Ghijf. Name: Tanker shield. Id: 12933, amount: 1	
[10/8/25 01:21AM]  Received item from Ghijf. Name: Collector necklace. Id: 19886, amount: 1	
[10/8/25 01:21AM]  Received item from Ghijf. Name: Melee platelegs (T5). Id: 8328, amount: 1	
