[10/7/25 01:00AM]  Received item from Afk Gh. Name: Levincia tokens. Id: 12855, amount: 803	
[10/7/25 01:00AM]  Received item from Afk Gh. Name: PVM ticket. Id: 5022, amount: 636	
[10/7/25 01:00AM]  Received item from Afk Gh. Name: AFK ticket. Id: 5020, amount: 492	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: AFK ticket. Id: 5020, amount: 262	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Shikruu platebody. Id: 8801, amount: 1	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: PVM ticket. Id: 5022, amount: 265	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Levincia tokens. Id: 12855, amount: 321	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Loot box. Id: 290, amount: 2	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Dragon pickaxe. Id: 15259, amount: 1	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Dragon med helm. Id: 1149, amount: 1	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Dragon mace. Id: 1434, amount: 1	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Dragon 2h sword. Id: 7158, amount: 1	
[10/7/25 01:17AM]  Received item from Afk Gh. Name: Ring of slaying (8). Id: 13281, amount: 1	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: AFK ticket. Id: 5020, amount: 187	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: Levincia tokens. Id: 12855, amount: 339	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: Vote scroll. Id: 23020, amount: 5	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: Supreme Casket. Id: 23253, amount: 2	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: PVM ticket. Id: 5022, amount: 1282	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: 1k token. Id: 8851, amount: 5	
[10/7/25 01:57PM]  Received item from Afk Gh. Name: Crystal key. Id: 989, amount: 2	
[10/7/25 03:16PM]  Received item from Juggy. Name: Shikruu full helm. Id: 8800, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Levincia tokens. Id: 12855, amount: 302577	
[10/7/25 03:16PM]  Received item from Juggy. Name: PVM ticket. Id: 5022, amount: 111740	
[10/7/25 03:16PM]  Received item from Juggy. Name: Donator Aura. Id: 12630, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Maxiblood whip. Id: 18750, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Collector necklace. Id: 19886, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Melee platelegs (T5). Id: 8328, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Art's boots. Id: 8334, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Art's amulet. Id: 19892, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Trinity hammers. Id: 22084, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Joyxox sword. Id: 17708, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Titan staff. Id: 17600, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Vote scroll. Id: 23020, amount: 4	
[10/7/25 03:16PM]  Received item from Juggy. Name: Death rune. Id: 560, amount: 246	
[10/7/25 03:16PM]  Received item from Juggy. Name: Angels Flamethrower. Id: 17712, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Instance Tokens. Id: 4278, amount: 19	
[10/7/25 03:16PM]  Received item from Juggy. Name: Legendary body. Id: 17640, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Inferno Wings. Id: 12634, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Art's ring. Id: 8335, amount: 1	
[10/7/25 03:16PM]  Received item from Juggy. Name: Soul fragment. Id: 14639, amount: 366	
[10/7/25 03:22PM]  Received item from Juggy. Name: Raids Box. Id: 18404, amount: 7	
[10/7/25 03:22PM]  Received item from Juggy. Name: OP Box. Id: 20488, amount: 3	
[10/7/25 03:22PM]  Received item from Juggy. Name: Levincia tokens. Id: 12855, amount: 10000	
[10/7/25 06:11PM]  Received item from Afk Gh. Name: Golden Scratch Card. Id: 22121, amount: 1	
[10/7/25 06:11PM]  Received item from Afk Gh. Name: $5 Bond. Id: 6769, amount: 3	
[10/7/25 06:11PM]  Received item from Afk Gh. Name: Vote scroll. Id: 23020, amount: 5	
[10/7/25 06:11PM]  Received item from Afk Gh. Name: Dragon Rider lance. Id: 8087, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Dragon Rider lance. Id: 8087, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Melee helm (T5). Id: 8326, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Tanker shield. Id: 12933, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Collector necklace. Id: 19886, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Melee platelegs (T5). Id: 8328, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Collector necklace II. Id: 19888, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Collector ring. Id: 4446, amount: 1	
[10/8/25 01:21AM]  Gave item to Afk Gh. Name: Melee body (T5). Id: 8327, amount: 1	
[10/8/25 01:21AM]  Received item from Afk Gh. Name: 1k token. Id: 8851, amount: 10275	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: PVM ticket. Id: 5022, amount: 448	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Crystal key. Id: 989, amount: 71	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Starter bones. Id: 23402, amount: 121	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Beginner Mystery box. Id: 6199, amount: 21	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: PvM Box. Id: 7956, amount: 9	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Instance Tokens. Id: 4278, amount: 4	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Levincia tokens. Id: 12855, amount: 5000	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Reward Crate. Id: 10025, amount: 3	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Emerald mystery box. Id: 19115, amount: 3	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Goodiebag box. Id: 6833, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Ruby Mystery Box. Id: 19114, amount: 3	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Melee body (T5). Id: 8327, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Melee platelegs (T5). Id: 8328, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Collector ring. Id: 4446, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Tornado Katana. Id: 14018, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Melee helm (T5). Id: 8326, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Dragon Rider lance. Id: 8087, amount: 1	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Sapphire mystery box. Id: 19116, amount: 2	
[10/8/25 01:29AM]  Received item from Afk Gh. Name: Collector necklace II. Id: 19888, amount: 1	
[10/8/25 01:18PM]  Received item from Ezpz Ghijf. Name: Ruby ring. Id: 1641, amount: 1	
[10/8/25 01:18PM]  Received item from Ezpz Ghijf. Name: Ruby ring. Id: 1641, amount: 1	
[10/8/25 01:18PM]  Received item from Ezpz Ghijf. Name: Ruby ring. Id: 1641, amount: 1	
[10/8/25 01:18PM]  Received item from Ezpz Ghijf. Name: Ruby ring. Id: 1641, amount: 1	
[10/8/25 01:18PM]  Received item from Ezpz Ghijf. Name: Ruby ring. Id: 1641, amount: 1	
[10/9/25 11:59PM]  Gave item to Ezpz Ghijf. Name: Melee platelegs (T5). Id: 8328, amount: 1	
[10/9/25 11:59PM]  Gave item to Ezpz Ghijf. Name: Melee body (T5). Id: 8327, amount: 1	
