[10/10/25 08:40AM]  Received item from Hank. Name: Vote scroll. Id: 23020, amount: 5	
[10/10/25 08:40AM]  Received item from Hank. Name: Fortune Chest. Id: 23002, amount: 5	
[10/10/25 10:19AM]  Gave item to Loki. Name: Collector necklace. Id: 19886, amount: 1	
[10/10/25 03:14PM]  Gave item to History Hawk. Name: Levincia tokens. Id: 12855, amount: 200000	
[10/10/25 03:14PM]  Received item from History Hawk. Name: PVM ticket. Id: 5022, amount: 200000	
[10/10/25 05:29PM]  Gave item to Bishop. Name: Elite staff. Id: 8412, amount: 1	
[10/10/25 06:13PM]  Gave item to Bishop. Name: Collector necklace. Id: 19886, amount: 1	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Vote scroll. Id: 23020, amount: 5	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Shikruu platelegs. Id: 8802, amount: 1	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Shikruu full helm. Id: 8800, amount: 1	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Shikruu platebody. Id: 8801, amount: 1	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Elite Sword (aoe). Id: 8410, amount: 1	
[10/10/25 11:12PM]  Gave item to Blayko. Name: Elite dragon bones. Id: 18830, amount: 500	
[10/13/25 06:36PM]  Received item from History Hawk. Name: Donator Aura. Id: 12630, amount: 1	
[10/13/25 06:36PM]  Received item from History Hawk. Name: Collector Necklace III. Id: 18888, amount: 1	
[10/13/25 06:38PM]  Received item from History Hawk. Name: Sanguinesti Legends staff. Id: 17011, amount: 1	
[10/13/25 06:58PM]  Gave item to History Hawk. Name: $5 Bond. Id: 6769, amount: 14	
[10/13/25 06:58PM]  Gave item to History Hawk. Name: Levincia tokens. Id: 12855, amount: 13018288	
[10/13/25 06:58PM]  Received item from History Hawk. Name: Owner cape. Id: 7995, amount: 1	
[10/16/25 03:14PM]  Gave item to Dracky. Name: Antique lamp. Id: 11137, amount: 1500	
[10/16/25 03:53PM]  Gave item to Dracky. Name: Owner cape. Id: 7995, amount: 1	
