[10/7/25 07:38PM]  Received item from Vibes. Name: Diabolical sword. Id: 8834, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Demonic scythe. Id: 20549, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Demonic scythe. Id: 20549, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Diabolical boots. Id: 15830, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Diabolical full helm. Id: 8860, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Ice fury. Id: 15418, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Upgrade Token pack (5k). Id: 15290, amount: 5	
[10/7/25 07:38PM]  Received item from Vibes. Name: Diabolical boots. Id: 15830, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Divine spirit shield. Id: 13740, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: PvM Box (t2). Id: 22214, amount: 81	
[10/7/25 07:38PM]  Received item from Vibes. Name: Sapphire mystery box. Id: 19116, amount: 4	
[10/7/25 07:38PM]  Received item from Vibes. Name: Levincia tokens. Id: 12855, amount: 2672968	
[10/7/25 07:38PM]  Received item from Vibes. Name: Collector necklace II. Id: 19888, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Deity Boots. Id: 18881, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Amulet of Gluttony. Id: 6585, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Amulet of Gluttony. Id: 6585, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Ice fury. Id: 15418, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Crystal key. Id: 989, amount: 11	
[10/7/25 07:38PM]  Received item from Vibes. Name: Art's ring. Id: 8335, amount: 1	
[10/7/25 07:38PM]  Received item from Vibes. Name: Elite staff. Id: 8412, amount: 1	
[10/7/25 07:39PM]  Received item from Vibes. Name: Sagitarian coif. Id: 3752, amount: 20	
[10/7/25 07:39PM]  Received item from Vibes. Name: Sagittarian body. Id: 17194, amount: 16	
[10/7/25 07:39PM]  Received item from Vibes. Name: Sagittarian chaps. Id: 17340, amount: 15	
[10/7/25 07:39PM]  Received item from Vibes. Name: Dark bow. Id: 11236, amount: 15	
