[10/14/25 05:45PM] UPGRADED : Trinity hammers, id: 22084, amount: 1 --into-- Maxiblood whip, id: 18750, amount: 1	
[10/14/25 05:45PM] UPGRADED : Trinity hammers, id: 22084, amount: 1 --into-- Maxiblood whip, id: 18750, amount: 1	
[10/14/25 05:45PM] UPGRADED : Trinity hammers, id: 22084, amount: 1 --into-- Maxiblood whip, id: 18750, amount: 1	
[10/14/25 05:45PM] UPGRADED : Trinity hammers, id: 22084, amount: 1 --into-- Maxiblood whip, id: 18750, amount: 1	
[10/14/25 05:46PM] UPGRADED : Sorrow bow, id: 20173, amount: 1 --into-- Blast bow, id: 22083, amount: 1	
[10/14/25 05:46PM] UPGRADED : Sorrow bow, id: 20173, amount: 1 --into-- Blast bow, id: 22083, amount: 1	
[10/14/25 05:46PM] UPGRADED : Sorrow bow, id: 20173, amount: 1 --into-- Blast bow, id: 22083, amount: 1	
[10/14/25 05:46PM] UPGRADED : Sorrow bow, id: 20173, amount: 1 --into-- Blast bow, id: 22083, amount: 1	
[10/14/25 05:48PM] UPGRADED : Shikruu full helm, id: 8800, amount: 1 --into-- Melee helm (T5), id: 8326, amount: 1	
[10/14/25 05:48PM] UPGRADED : Shikruu full helm, id: 8800, amount: 1 --into-- Melee helm (T5), id: 8326, amount: 1	
[10/14/25 05:48PM] UPGRADED : Shikruu full helm, id: 8800, amount: 1 --into-- Melee helm (T5), id: 8326, amount: 1	
[10/14/25 05:49PM] UPGRADED : Magic helm (t5), id: 8323, amount: 1 --into-- Corrupt moonlight hood, id: 18631, amount: 1	
[10/14/25 05:49PM] UPGRADED : Magic helm (t5), id: 8323, amount: 1 --into-- Corrupt moonlight hood, id: 18631, amount: 1	
[10/14/25 05:49PM] UPGRADED : Magic helm (t5), id: 8323, amount: 1 --into-- Corrupt moonlight hood, id: 18631, amount: 1	
