[10/7/25 08:05AM] UPGRADED : Dagon'hai robe bottom, id: 14501, amount: 1 --into-- Shetani legs, id: 19138, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai robe bottom, id: 14501, amount: 1 --into-- Shetani legs, id: 19138, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai robe bottom, id: 14501, amount: 1 --into-- Shetani legs, id: 19138, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai hat, id: 14499, amount: 1 --into-- Shetani helm, id: 19140, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai hat, id: 14499, amount: 1 --into-- Shetani helm, id: 19140, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai robe top, id: 14497, amount: 1 --into-- Shetani body, id: 19139, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai robe top, id: 14497, amount: 1 --into-- Shetani body, id: 19139, amount: 1	
[10/7/25 08:05AM] UPGRADED : Dagon'hai robe top, id: 14497, amount: 1 --into-- Shetani body, id: 19139, amount: 1	
[10/7/25 08:05AM] UPGRADED : Staff of light, id: 15486, amount: 1 --into-- Shetani staff, id: 5095, amount: 1	
[10/7/25 08:05AM] UPGRADED : Staff of light, id: 15486, amount: 1 --into-- Shetani staff, id: 5095, amount: 1	
[10/7/25 08:05AM] UPGRADED : Third-age platebody, id: 10348, amount: 1 --into-- Exotic chainbody, id: 13913, amount: 1	
[10/7/25 08:05AM] UPGRADED : Third-age platebody, id: 10348, amount: 1 --into-- Exotic chainbody, id: 13913, amount: 1	
[10/7/25 08:05AM] UPGRADED : Third-age platelegs, id: 10346, amount: 1 --into-- Exotic platelegs, id: 13919, amount: 1	
[10/7/25 08:05AM] UPGRADED : Abyssal whip, id: 4151, amount: 1 --into-- Noxious tentacle, id: 18686, amount: 1	
[10/7/25 08:07AM] UPGRADED : Shetani body, id: 19139, amount: 1 --into-- Virtus robe top, id: 6934, amount: 1	
[10/7/25 08:07AM] UPGRADED : Shetani body, id: 19139, amount: 1 --into-- Virtus robe top, id: 6934, amount: 1	
[10/7/25 08:07AM] UPGRADED : Shetani legs, id: 19138, amount: 1 --into-- Virtus robe legs, id: 6935, amount: 1	
[10/7/25 08:07AM] UPGRADED : Shetani legs, id: 19138, amount: 1 --into-- Virtus robe legs, id: 6935, amount: 1	
[10/7/25 08:07AM] UPGRADED : Shetani helm, id: 19140, amount: 1 --into-- Virtus mask, id: 6933, amount: 1	
[10/7/25 08:07AM] UPGRADED : Exotic chainbody, id: 13913, amount: 1 --into-- Paladins platebody, id: 6928, amount: 1	
[10/7/25 08:08AM] UPGRADED : Third-age full helmet, id: 10350, amount: 1 --into-- Exotic helmet, id: 13996, amount: 1	
[10/7/25 08:08AM] UPGRADED : Third-age full helmet, id: 10350, amount: 1 --into-- Exotic helmet, id: 13996, amount: 1	
[10/7/25 08:08AM] UPGRADED : Virtus robe top, id: 6934, amount: 1 --into-- Ganopurp robe top, id: 8807, amount: 1	
[10/7/25 08:08AM] UPGRADED : Virtus robe top, id: 6934, amount: 1 --into-- Ganopurp robe top, id: 8807, amount: 1	
[10/7/25 08:08AM] UPGRADED : Virtus robe legs, id: 6935, amount: 1 --into-- Ganopurp robe legs, id: 8808, amount: 1	
[10/7/25 08:08AM] UPGRADED : Virtus robe legs, id: 6935, amount: 1 --into-- Ganopurp robe legs, id: 8808, amount: 1	
[10/7/25 08:10AM] UPGRADED : Shetani staff, id: 5095, amount: 1 --into-- Brutal staff, id: 6936, amount: 1	
[10/7/25 08:11AM] UPGRADED : Ganopurp robe top, id: 8807, amount: 1 --into-- Magic body (t5), id: 8324, amount: 1	
[10/7/25 08:11AM] UPGRADED : Ganopurp robe legs, id: 8808, amount: 1 --into-- Magic legs (t5), id: 8325, amount: 1	
[10/7/25 08:11AM] UPGRADED : Ganopurp mask, id: 8806, amount: 1 --into-- Magic helm (t5), id: 8323, amount: 1	
