[10/10/25 07:45AM] UPGRADED : Arts staff, id: 22092, amount: 1 --into-- Corrupt moonlight staff, id: 18629, amount: 1	
[10/10/25 07:45AM] UPGRADED : Arts staff, id: 22092, amount: 1 --into-- Corrupt moonlight staff, id: 18629, amount: 1	
[10/10/25 07:45AM] UPGRADED : Arts staff, id: 22092, amount: 1 --into-- Corrupt moonlight staff, id: 18629, amount: 1	
[10/10/25 07:45AM] UPGRADED : Arts staff, id: 22092, amount: 1 --into-- Corrupt moonlight staff, id: 18629, amount: 1	
[10/10/25 07:45AM] UPGRADED : Arts staff, id: 22092, amount: 1 --into-- Corrupt moonlight staff, id: 18629, amount: 1	
[10/10/25 07:45AM] UPGRADED : Corrupt moonlight staff, id: 18629, amount: 1 --into-- Purifier Staff, id: 8089, amount: 1	
[10/10/25 07:46AM] UPGRADED : Blast bow, id: 22083, amount: 1 --into-- Corrupt archie bow, id: 18636, amount: 1	
[10/10/25 07:46AM] UPGRADED : Blast bow, id: 22083, amount: 1 --into-- Corrupt archie bow, id: 18636, amount: 1	
[10/10/25 07:46AM] UPGRADED : Blast bow, id: 22083, amount: 1 --into-- Corrupt archie bow, id: 18636, amount: 1	
[10/10/25 07:46AM] UPGRADED : Blast bow, id: 22083, amount: 1 --into-- Corrupt archie bow, id: 18636, amount: 1	
[10/10/25 07:46AM] UPGRADED : Blast bow, id: 22083, amount: 1 --into-- Corrupt archie bow, id: 18636, amount: 1	
[10/10/25 07:46AM] UPGRADED : Corrupt archie bow, id: 18636, amount: 1 --into-- Judicator crossbow, id: 8088, amount: 1	
