[10/5/25 07:10AM] Sender: Hank, Message: Sup spoon	
[10/5/25 07:12AM] Sender: Spoon, Message: Hey!	
[10/5/25 07:24AM] Sender: Spoon, Message: No voting yet?	
[10/5/25 07:24AM] Sender: Spoon, Message: Ok!	
[10/5/25 07:24AM] Sender: History hawk, Message: Working on voting and store	
[10/5/25 07:24AM] Sender: Spoon, Message: Nice!	
[10/5/25 07:25AM] Sender: Spoon, Message: How do i get a chest key?	
[10/5/25 07:26AM] Sender: History hawk, Message: Click on the key	
[10/5/25 07:26AM] Sender: History hawk, Message: Oh a case key?	
[10/5/25 07:26AM] Sender: Spoon, Message: I dont have the key, wondering how i get them to open my chest	
[10/5/25 07:26AM] Sender: Spoon, Message: Yea case key lol	
[10/5/25 07:28AM] Sender: Spoon, Message: The voting achievement will ned a name change, as its the name of another serve	
[10/5/25 07:29AM] Sender: Spoon, Message: Another server	
[10/5/25 07:29AM] Sender: Hank, Message: Yes	
[10/5/25 07:31AM] Sender: Hank, Message: Going to be redoing the achivementt loots also	
[10/5/25 07:31AM] Sender: Spoon, Message: Awesome!	
[10/5/25 07:45AM] Sender: Spoon, Message: I just randomly got a daily done that had nothing to do with what	
[10/5/25 07:45AM] Sender: Spoon, Message: Im killing	
[10/5/25 07:45AM] Sender: History hawk, Message: Weird	
[10/5/25 07:45AM] Sender: Spoon, Message: Recieve a unique blood demon drop in elite daily	
[10/5/25 07:46AM] Sender: Spoon, Message: Unless phase 4 starters are classed as that.. as i got a 1/2000 drop	
[10/5/25 07:56AM] Sender: History hawk, Message: Yo come to nightmare boss	
[10/5/25 07:57AM] Sender: History hawk, Message: Under global teles	
[10/5/25 07:59AM] Sender: Spoon, Message: Nothing good rip lol	
[10/5/25 08:00AM] Sender: Hank, Message: Maralu	
[10/5/25 08:00AM] Sender: Hank, Message: Naraku	
[10/5/25 08:02AM] Sender: History hawk, Message: Dragon king	
[10/5/25 08:07AM] Sender: History hawk, Message: Zones are also good to start at	
[10/5/25 08:07AM] Sender: Spoon, Message: We killing nightmare again?	
[10/5/25 08:07AM] Sender: History hawk, Message: We can	
[10/5/25 08:08AM] Sender: Spoon, Message: Ty	
[10/5/25 08:18AM] Sender: History hawk, Message: What aoe you want range mage or meele?	
[10/5/25 08:18AM] Sender: Spoon, Message: Erm.. mage	
[10/5/25 08:20AM] Sender: Hank, Message: Np	
[10/5/25 08:32AM] Sender: Spoon, Message: Gotta go walk dog, ill be back soon	
[10/5/25 09:32AM] Sender: Hank, Message: Sup	
[10/5/25 03:17PM] Sender: Spoon, Message: Boop	
[10/6/25 04:49AM] Sender: Hank, Message: Welcome bro	
[10/6/25 05:07AM] Sender: Hank, Message: Come to nightmare global	
[10/6/25 05:10AM] Sender: Grand, Message: Yo	
[10/6/25 05:10AM] Sender: Hank, Message: Yo	
[10/6/25 05:11AM] Sender: Grand, Message: Ref code?	
[10/6/25 05:11AM] Sender: Hank, Message: Hmm	
[10/6/25 05:11AM] Sender: Grand, Message: Vote didnt work?	
[10/6/25 05:12AM] Sender: Hank, Message: Do walkchaos	
[10/6/25 05:12AM] Sender: Hank, Message: Im setting vote and donate up today	
[10/6/25 05:17AM] Sender: Hank, Message: New raids	
[10/6/25 05:41AM] Sender: Hank, Message: Yall want to do a raid?	
[10/6/25 06:09AM] Sender: Grand, Message: Guys come ::dk  help :)	
[10/6/25 06:21AM] Sender: Grand, Message: How tele donator zone?	
[10/6/25 06:27AM] Sender: Atz, Message: Ur a fuckinng noob	
[10/6/25 06:27AM] Sender: Grand, Message: Lol	
[10/6/25 06:27AM] Sender: Atz, Message: This hawk	
[10/6/25 06:27AM] Sender: Atz, Message: Teled home told im noob i told back now :d	
[10/6/25 06:27AM] Sender: Hank, Message: Lmao	
[10/6/25 06:27AM] Sender: Grand, Message: Lol	
[10/6/25 06:27AM] Sender: Atz, Message: Xdd'	
[10/6/25 06:31AM] Sender: Grand, Message: Pirifier staff same aoe?	
[10/6/25 06:35AM] Sender: Grand, Message: What loots from diminished key?	
[10/6/25 06:36AM] Sender: Hank, Message: You will have to open it to find out :0	
[10/6/25 06:36AM] Sender: Grand, Message: Where this chest? :p	
[10/6/25 06:36AM] Sender: Hank, Message: Should be home	
[10/6/25 06:37AM] Sender: Grand, Message: Find	
[10/6/25 06:38AM] Sender: Grand, Message: Got diminished shards and cant claim it	
[10/6/25 06:39AM] Sender: Atz, Message: Come to ::naraku	
[10/6/25 06:42AM] Sender: Grand, Message:  ::dk	
[10/6/25 07:22AM] Sender: Grand, Message: Nice	
[10/6/25 07:23AM] Sender: Hank, Message: Yea look at sneak peek on discord	
[10/6/25 07:23AM] Sender: Hank, Message: You also get cards and bonds	
[10/6/25 07:23AM] Sender: Grand, Message: Nice	
[10/6/25 07:23AM] Sender: Grand, Message: Why u didnt go rest? :)	
[10/6/25 07:24AM] Sender: Hank, Message: To much to do	
[10/6/25 07:24AM] Sender: Hank, Message: Waiting for new players	
[10/6/25 07:40AM] Sender: Grand, Message: Prestige didnt work?	
[10/6/25 07:43AM] Sender: Hank, Message: Is dose	
[10/6/25 07:43AM] Sender: Hank, Message: All lvls need to be 120	
[10/6/25 07:49AM] Sender: Grand, Message: Whats reward?	
[10/6/25 07:53AM] Sender: Hank, Message: You  get prestige boxes	
[10/6/25 12:27PM] Sender: Grand, Message: Gnn	
[10/6/25 05:46PM] Sender: Spoon, Message: Boop	
[10/6/25 05:51PM] Sender: Hank, Message: Sup spoon	
[10/6/25 05:53PM] Sender: Spoon, Message: Ty	
[10/6/25 06:13PM] Sender: Spoon, Message: Right its 2am im heading to bed but ill be back on tomorrow when home 	
[10/6/25 06:13PM] Sender: Spoon, Message: From the hospital	
[10/6/25 06:14PM] Sender: Hank, Message: Ok bro have a goodnight	
[10/6/25 06:14PM] Sender: Spoon, Message: Take care	
[10/6/25 06:14PM] Sender: Hank, Message: You w	
[10/6/25 06:14PM] Sender: Hank, Message: 2	
[10/6/25 06:19PM] Sender: Spoon, Message: Cant mine afk rocks in afk area..	
[10/6/25 06:20PM] Sender: Hank, Message: Got to the honey	
[10/6/25 07:35PM] Sender: Vibes, Message:  hello	
[10/6/25 07:58PM] Sender: Hank, Message: Better	
[10/6/25 08:03PM] Sender: You, Message: How to claim votes	
[10/6/25 08:09PM] Sender: You, Message: ;l0l0l0l0l0l0l0ll0	
[10/6/25 08:10PM] Sender: Vibes, Message:  bro grz	
[10/6/25 08:10PM] Sender: Hank, Message: Spoon	
[10/6/25 08:19PM] Sender: Vibes, Message:  use	
[10/6/25 08:24PM] Sender: Vibes, Message:  is there a quick tele to slay task?	
[10/6/25 08:24PM] Sender: Hank, Message: No	
[10/6/25 08:25PM] Sender: Hank, Message: I can make one soon	
[10/6/25 08:25PM] Sender: Vibes, Message:  that would be nice, i dont know where spiritual criters car	
[10/6/25 08:25PM] Sender: Vibes, Message:  found lol	
[10/6/25 08:29PM] Sender: You, Message: Ok take care guys im late to work now :d	
[10/6/25 08:29PM] Sender: You, Message: Runing away,afk time :d	
[10/6/25 08:30PM] Sender: Hank, Message: Ok bro	
[10/6/25 08:30PM] Sender: Vibes, Message:  peace out	
[10/6/25 08:48PM] Sender: Hank, Message: Small update	
[10/6/25 08:59PM] Sender: Hank, Message: Nice	
[10/6/25 09:23PM] Sender: Dox, Message: You good bro	
[10/6/25 09:37PM] Sender: Hank, Message: Vote didint work?	
[10/6/25 09:37PM] Sender: Dox, Message: Nope	
[10/6/25 09:37PM] Sender: Hank, Message: @::vote?	
[10/6/25 09:37PM] Sender: Dox, Message: Yeah i voted, how do we claim ?	
[10/6/25 10:11PM] Sender: Dox, Message: Take care	
[10/6/25 10:41PM] Sender: Dox, Message: Gz	
[10/6/25 10:44PM] Sender: Dox, Message: Wb brb food is ready	
[10/6/25 11:50PM] Sender: Delicious, Message: Heya is there a ref? or some starter goodies	
[10/7/25 12:08AM] Sender: Delicious, Message: Is there a ref	
[10/7/25 12:09AM] Sender: Dox, Message: I used runelocus	
[10/7/25 12:10AM] Sender: Delicious, Message: Tyvm	
[10/7/25 12:11AM] Sender: Delicious, Message: Are there like progession tasks?	
[10/7/25 12:11AM] Sender: Delicious, Message: Or just starter zones	
[10/7/25 12:11AM] Sender: Dox, Message: ::startertasks	
[10/7/25 12:11AM] Sender: Delicious, Message: Ty	
[10/7/25 12:11AM] Sender: Dox, Message: Yw	
[10/7/25 12:12AM] Sender: Delicious, Message: Oh i think the achievements are showing the old server name	
[10/7/25 12:12AM] Sender: Delicious, Message: 'support avalon'	
