[7/13/25 06:00PM]  [ Test ] Test used command ::donate | Player rights = PLAYER	
[7/14/25 03:26PM]  [ Test ] Test used command ::FIND NULL | Player rights = PLAYER	
[7/14/25 03:27PM]  [ Test ] Test used command ::FIND NILL | Player rights = OWNER	
[7/14/25 03:27PM]  [ Test ] Test used command ::FIND NULL | Player rights = OWNER	
[7/14/25 03:27PM]  [ Test ] Test used command ::item 23423 | Player rights = OWNER	
[7/14/25 03:48PM]  [ Test ] Test used command ::item 23690 | Player rights = OWNER	
[7/14/25 04:13PM]  [ Test ] Test used command ::god | Player rights = OWNER	
[7/14/25 04:13PM]  [ Test ] Test used command ::find staff | Player rights = OWNER	
[7/14/25 04:13PM]  [ Test ] Test used command ::item 23364 | Player rights = OWNER	
[7/14/25 04:14PM]  [ Test ] Test used command ::::master | Player rights = OWNER	
[7/14/25 04:14PM]  [ Test ] Test used command ::master | Player rights = OWNER	
[7/14/25 06:02PM]  [ Test ] Test used command ::seasonpass | Player rights = OWNER	
[7/14/25 06:16PM]  [ Test ] Test used command ::season | Player rights = OWNER	
[7/14/25 06:16PM]  [ Test ] Test used command ::seasonpass | Player rights = OWNER	
[7/14/25 06:28PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/15/25 07:15PM]  [ Test ] Test used command ::coords | Player rights = OWNER	
[7/15/25 07:23PM]  [ Test ] Test used command ::repackindex4 | Player rights = OWNER	
[7/15/25 07:50PM]  [ Test ] Test used command ::find shroom | Player rights = OWNER	
[7/15/25 07:50PM]  [ Test ] Test used command ::item 17821 | Player rights = OWNER	
[7/15/25 07:50PM]  [ Test ] Test used command ::item 4620 | Player rights = OWNER	
[7/15/25 07:51PM]  [ Test ] Test used command ::afk | Player rights = OWNER	
[7/15/25 07:51PM]  [ Test ] Test used command ::find pickaxer | Player rights = OWNER	
[7/15/25 07:51PM]  [ Test ] Test used command ::find axer | Player rights = OWNER	
[7/15/25 07:51PM]  [ Test ] Test used command ::find pickaxe | Player rights = OWNER	
[7/15/25 07:51PM]  [ Test ] Test used command ::item 19812 | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::find starter | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::item 23139 | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::item 23140 | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::item 23141 | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::item 23142 | Player rights = OWNER	
[7/16/25 03:15PM]  [ Test ] Test used command ::item 23143 | Player rights = OWNER	
[7/16/25 03:16PM]  [ Test ] Test used command ::bank | Player rights = OWNER	
[7/16/25 03:25PM]  [ Test ] Test used command ::find donator | Player rights = OWNER	
