[10/5/25 05:20PM]  [ History Hawk ] Player received drop: x1 Hanto Costume, id: 23462, amount: 1, from: Hanto Warrior	
[10/7/25 07:49AM]  [ History Hawk ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Hellraiser	
[10/7/25 10:35AM]  [ Gudekompleks ] Player received drop: x1 2X Damage Scroll (30 Min), id: 15359, amount: 1, from: Vote Boss	
[10/7/25 01:16PM]  [ Juggy ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Vote Boss	
[10/7/25 02:48PM]  [ Juggy ] Player received drop: x1 Upgrade Token pack (25k), id: 15289, amount: 1, from: Nightmare Boss	
[10/7/25 04:15PM]  [ Hank ] Player received drop: x1 100% DR Scroll (30 Min), id: 15358, amount: 1, from: Vote Boss	
[10/7/25 05:05PM]  [ Ghijf ] Player received drop: x1 Collector necklace, id: 19886, amount: 1, from: Vote Boss	
[10/7/25 05:44PM]  [ Grand ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Naraku	
[10/7/25 06:05PM]  [ Grand ] Player received drop: x1 $5 Bond, id: 6769, amount: 1, from: Nephilim Warrior	
[10/7/25 06:11PM]  [ Grand ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 06:11PM]  [ Evilspot ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 06:13PM]  [ Justin ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Nephilim Warrior	
[10/7/25 06:18PM]  [ Justin ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 07:08PM]  [ Evilspot ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 07:09PM]  [ Grand ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 07:09PM]  [ Big Daddy D ] Player received drop: x1 Upgrade Token pack (100k), id: 15288, amount: 1, from: Nephilim Warrior	
[10/7/25 07:10PM]  [ Test ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Nephilim Warrior	
[10/7/25 07:11PM]  [ Vibes ] Player received drop: x1 $1 Scroll, id: 10946, amount: 1, from: Nephilim Warrior	
