[10/5/25 12:08PM]  [ Test ] Item: Diminished Amulet, ID: 10829, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Launch casket, ID: 20489, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Diminished Gloves, ID: 10795, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Levincia tokens, ID: 12855, Amount: 1000000	
[10/5/25 12:08PM]  [ Test ] Item: Ethereal case, ID: 23412, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Launch casket, ID: 20489, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Diminished Ring, ID: 10827, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: $50 Bond, ID: 10935, Amount: 2	
[10/5/25 12:08PM]  [ Test ] Item: Ethereal case, ID: 23412, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Ethereal case, ID: 23412, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Owner cape goodiebag, ID: 3578, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: Azure Casket, ID: 15003, Amount: 3	
[10/5/25 12:08PM]  [ Test ] Item: Dragon King transformer, ID: 23669, Amount: 1	
[10/5/25 12:08PM]  [ Test ] Item: OP Box, ID: 20488, Amount: 16	
[10/5/25 12:37PM]  [ Test ] Item: Collector's Attachment, ID: 9084, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Fortune Chest, ID: 23002, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Rage attachment, ID: 9083, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Elite Sword (aoe), ID: 8410, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Starter platelegs, ID: 1067, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Legends Scythe of Vitur, ID: 12535, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Legends legs, ID: 4686, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Rage Cape, ID: 20591, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Fallen Angel's wings, ID: 22105, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Elite Casket, ID: 15002, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Aura (T6), ID: 23049, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Launch casket, ID: 20489, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Azure Casket, ID: 15003, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Sanguinesti Legends staff, ID: 17011, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Upgrade Token pack (25k), ID: 15289, Amount: 1	
[10/5/25 12:37PM]  [ Test ] Item: Elite staff, ID: 8412, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Deity Spirit shield, ID: 19810, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Dagon'hai robes set, ID: 14525, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Diminished dragonfire shield, ID: 14438, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Third-age platebody, ID: 10348, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: OP Box, ID: 20488, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Amulet of Gluttony, ID: 6585, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Sagittarian range set, ID: 19582, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Diminished Legs, ID: 14436, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Karil's crossbow, ID: 4734, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Brutal Minigun, ID: 19136, Amount: 1	
[10/5/25 12:38PM]  [ Test ] Item: Abyssal whip, ID: 4151, Amount: 1	
[10/6/25 05:04AM]  [ Hank ] Item: Sorrow body, ID: 8804, Amount: 1	
[10/6/25 05:04AM]  [ Hank ] Item: $25 Bond, ID: 10934, Amount: 1	
[10/6/25 05:04AM]  [ Hank ] Item: Collector Necklace III, ID: 18888, Amount: 1	
[10/6/25 05:04AM]  [ Hank ] Item: Elite Sword (aoe), ID: 8410, Amount: 1	
[10/6/25 05:04AM]  [ Atz ] Item: Collector ring, ID: 4446, Amount: 1	
[10/6/25 05:06AM]  [ Atz ] Item: Brutal Minigun, ID: 19136, Amount: 1	
[10/6/25 05:06AM]  [ Atz ] Item: Sorrow chaps, ID: 8805, Amount: 1	
[10/6/25 05:07AM]  [ Atz ] Item: Premium ticket, ID: 23174, Amount: 20	
[10/6/25 05:07AM]  [ Atz ] Item: Rage attachment, ID: 9083, Amount: 1	
[10/6/25 05:07AM]  [ Atz ] Item: PvM Box, ID: 7956, Amount: 1	
[10/6/25 05:07AM]  [ Atz ] Item: Starter bones, ID: 23402, Amount: 15	
